# GENERATED by tools/extract_upr.py - do not hand-edit.
# settingsField	the UPR control that fixes its position
raceMode	raceModeCheckBox
randomizeInGameTradesOTs	igtRandomizeOTsCheckBox
randomizeInGameTradesIVs	igtRandomizeIVsCheckBox
randomizeInGameTradesItems	igtRandomizeItemsCheckBox
randomizeMovePowers	mdRandomizeMovePowerCheckBox
randomizeMoveAccuracies	mdRandomizeMoveAccuracyCheckBox
randomizeMovePPs	mdRandomizeMovePPCheckBox
randomizeMoveTypes	mdRandomizeMoveTypesCheckBox
randomizeMoveCategory	mdRandomizeMoveCategoryCheckBox
updateMoves	mdUpdateMovesCheckBox
updateMovesToGeneration	mdUpdateComboBox
movesetsMod	pmsUnchangedRadioButton
startWithGuaranteedMoves	pmsGuaranteedLevel1MovesCheckBox
reorderDamagingMoves	pmsReorderDamagingMovesCheckBox
blockBrokenMovesetMoves	pmsNoGameBreakingMovesCheckBox
blockBrokenMovesetMoves	pmsNoGameBreakingMovesCheckBox
movesetsForceGoodDamaging	pmsForceGoodDamagingCheckBox
guaranteedMoveCount	pmsGuaranteedLevel1MovesSlider
movesetsGoodDamagingPercent	pmsForceGoodDamagingSlider
evolutionMovesForAll	pmsEvolutionMovesCheckBox
rivalCarriesStarterThroughout	tpRivalCarriesStarterCheckBox
trainersUsePokemonOfSimilarStrength	tpSimilarStrengthCheckBox
randomizeTrainerNames	tpRandomizeTrainerNamesCheckBox
randomizeTrainerClassNames	tpRandomizeTrainerClassNamesCheckBox
trainersForceFullyEvolved	tpForceFullyEvolvedAtCheckBox
trainersForceFullyEvolvedLevel	tpForceFullyEvolvedAtSlider
trainersLevelModifier	tpPercentageLevelModifierSlider
trainersLevelModified	tpPercentageLevelModifierCheckBox
trainersMatchTypingDistribution	tpWeightTypesCheckBox
trainersBlockLegendaries	tpDontUseLegendariesCheckBox
trainersBlockEarlyWonderGuard	tpNoEarlyWonderGuardCheckBox
allowTrainerAlternateFormes	tpAllowAlternateFormesCheckBox
swapTrainerMegaEvos	tpSwapMegaEvosCheckBox
shinyChance	tpRandomShinyTrainerPokemonCheckBox
eliteFourUniquePokemonNumber	tpEliteFourUniquePokemonCheckBox
doubleBattleMode	tpDoubleBattleModeCheckBox
additionalBossTrainerPokemon	tpBossTrainersCheckBox
additionalImportantTrainerPokemon	tpImportantTrainersCheckBox
additionalRegularTrainerPokemon	tpRegularTrainersCheckBox
randomizeHeldItemsForBossTrainerPokemon	tpBossTrainersItemsCheckBox
randomizeHeldItemsForImportantTrainerPokemon	tpImportantTrainersItemsCheckBox
randomizeHeldItemsForRegularTrainerPokemon	tpRegularTrainersItemsCheckBox
consumableItemsOnlyForTrainers	tpConsumableItemsOnlyCheckBox
sensibleItemsOnlyForTrainers	tpSensibleItemsCheckBox
highestLevelGetsItemsForTrainers	tpHighestLevelGetsItemCheckBox
betterTrainerMovesets	tpBetterMovesetsCheckBox
totemPokemonMod	totpUnchangedRadioButton
allyPokemonMod	totpAllyUnchangedRadioButton
auraMod	totpAuraUnchangedRadioButton
totemLevelModifier	totpPercentageLevelModifierSlider
totemLevelsModified	totpPercentageLevelModifierCheckBox
randomizeTotemHeldItems	totpRandomizeHeldItemsCheckBox
allowTotemAltFormes	totpAllowAltFormesCheckBox
wildPokemonMod	wpUnchangedRadioButton
wildPokemonRestrictionMod	wpARNoneRadioButton
useTimeBasedEncounters	wpUseTimeBasedEncountersCheckBox
blockWildLegendaries	wpDontUseLegendariesCheckBox
useMinimumCatchRate	wpSetMinimumCatchRateCheckBox
randomizeWildPokemonHeldItems	wpRandomizeHeldItemsCheckBox
banBadRandomWildPokemonHeldItems	wpBanBadItemsCheckBox
balanceShakingGrass	wpBalanceShakingGrassPokemonCheckBox
wildLevelsModified	wpPercentageLevelModifierCheckBox
wildLevelModifier	wpPercentageLevelModifierSlider
minimumCatchRateLevel	wpSetMinimumCatchRateSlider
allowWildAltFormes	wpAllowAltFormesCheckBox
tmsMod	tmUnchangedRadioButton
blockBrokenTMMoves	tmNoGameBreakingMovesCheckBox
keepFieldMoveTMs	tmKeepFieldMoveTMsCheckBox
tmsForceGoodDamaging	tmForceGoodDamagingCheckBox
tmsGoodDamagingPercent	tmForceGoodDamagingSlider
tmsHmsCompatibilityMod	thcUnchangedRadioButton
tmsFollowEvolutions	tmFollowEvolutionsCheckBox
tmLevelUpMoveSanity	tmLevelupMoveSanityCheckBox
fullHMCompat	tmFullHMCompatibilityCheckBox
moveTutorMovesMod	mtUnchangedRadioButton
tutorsGoodDamagingPercent	mtForceGoodDamagingSlider
blockBrokenTutorMoves	mtNoGameBreakingMovesCheckBox
keepFieldMoveTutors	mtKeepFieldMoveTutorsCheckBox
tutorsForceGoodDamaging	mtForceGoodDamagingCheckBox
moveTutorsCompatibilityMod	mtcUnchangedRadioButton
tutorFollowEvolutions	mtFollowEvolutionsCheckBox
tutorLevelUpMoveSanity	mtLevelupMoveSanityCheckBox
fieldItemsMod	fiUnchangedRadioButton
banBadRandomFieldItems	fiBanBadItemsCheckBox
shopItemsMod	shUnchangedRadioButton
banOPShopItems	shBanOverpoweredShopItemsCheckBox
banBadRandomShopItems	shBanBadItemsCheckBox
banRegularShopItems	shBanRegularShopItemsCheckBox
balanceShopPrices	shBalanceShopItemPricesCheckBox
guaranteeEvolutionItems	shGuaranteeEvolutionItemsCheckBox
guaranteeXItems	shGuaranteeXItemsCheckBox
pickupItemsMod	puUnchangedRadioButton
banBadRandomPickupItems	puBanBadItemsCheckBox
