# GENERATED - the randomizer's OWN tooltip text.
# settingsField	description
randomizeMovePowers	Randomize the power of normal damaging moves. Moves will get a new random power generally between 20 and 150 inclusive, with a very small chance of higher values appearing. Non-damaging moves and moves with variable power will be unaffected. NOTE: There is no way to see the updated power of moves in-game in Gen 1!
randomizeMoveAccuracies	Randomize the accuracy of most moves. Some restrictions are enforced to reduce the chances of situations like 100% accurate OHKO moves happening. Sure-hit moves are not changed. NOTE: There is no way to see the updated accuracy of moves in-game in Gen 1!
randomizeMovePPs	Randomize the PP of each move. The maximum PP of each move (before PP Ups) will be randomized to a multiple of 5 between 5 and 40 inclusive.
randomizeMoveTypes	Randomize the type of most moves. The type of each move other than Struggle and ???-type moves will be re-rolled randomly. This has no real effect on self-status moves, and may have odd side-effects in Gen 1.
randomizeMoveCategory	Randomize the category of damaging moves between Physical and Special. This does not affect status moves. NOTE: This feature is not available for Gen 1-3 games. This randomizer does NOT add the Physical/Special split to games that don't have it!
updateMoves	If this is checked, moves will be updated to their stats (power, accuracy, etc) in the generation chosen to the right where possible. This does NOT add the Fairy type! Moves that were changed to Fairy type will keep their Gen 5 types. Note that this only affects move stats, not any secondary effects that may have been added.
movesetsMod	Don't change Pokemon movesets at all.
startWithGuaranteedMoves	Check this to make sure every Pokemon gets a guaranteed amount of moves at level 1, instead of them keeping their original move count. Set amount of guaranteed moves with the slider to the right. Setting this to 4 ensures that every Pokemon you catch will have a full moveset.
reorderDamagingMoves	Reorders the randomized movesets so that less powerful damaging moves are learnt before those with high power.n The positions of non-damaging moves will not change.
blockBrokenMovesetMoves	Checking this checkbox will stop moves that can break early/late games being available in randomized movesets. In first generation games, Dragon Rage, SonicBoom, Spore, and every OHKO move are banned. In second generation onwards, only SonicBoom and Dragon Rage are banned (because OHKO moves and sleep are significantly less broken).
blockBrokenMovesetMoves	Checking this checkbox will stop moves that can break early/late games being available in randomized movesets. In first generation games, Dragon Rage, SonicBoom, Spore, and every OHKO move are banned. In second generation onwards, only SonicBoom and Dragon Rage are banned (because OHKO moves and sleep are significantly less broken).
movesetsForceGoodDamaging	Selecting this option will allow you to use the slider below to select a proportion of the randomized movesets to be forced to be good damaging moves. Note that other moves can still be selected as good damaging moves randomly, this is simply an additional chance.
guaranteedMoveCount	Set amount of guaranteed moves at level 1. Applies to all Pokemon.
movesetsGoodDamagingPercent	Use this slider to select the probability of good damaging moves for the option above. Note that other moves can still be selected as good damaging moves randomly, this is simply an additional chance.
evolutionMovesForAll	Selecting this option will cause every Pokemon to learn a move upon evolution. Use carefully with Sun/Moon 1.0 - due to a glitch, if a Pokemon has an evolution move and also learns a move on the level that it evolved at, it will only learn the evolution move upon evolving.
rivalCarriesStarterThroughout	If this is selected, the rival will have their starter in every team they battle you with, evolved if it is far enough through. The rest of their team will be chosen in the same way as every other trainer.
trainersUsePokemonOfSimilarStrength	If this is checked, the random Pokemon that replaces each Pokemon will be of similar power to the original. However, preserving other rules such as type theming has precedence over this, so weaker or stronger Pokemon will be chosen if there are no other Pokemon available.
randomizeTrainerNames	Check this to randomize trainers' names when you fight them. For RBY, this only includes the Gym Leaders and Elite 4, as no-one else has names. For every other game this will replace the names of each individual trainer.
randomizeTrainerClassNames	Check this to randomize the class names to new names (e.g. "Youngster" could become "Misfit").
trainersForceFullyEvolved	Checking this will force all trainer Pokemon at or above the level you select below to be fully evolved regardless of other settings. Pokemon below the selected level will be randomly picked like normal.
trainersForceFullyEvolvedLevel	Use this slider to select the minimum level to force fully evolved Pokemon at if said option is checked above.
trainersLevelModifier	Use this slider to select the percentage to change trainer Pokemon levels by. Negative percentages (-50 to 0) will decrease levels, and positive percentages will increase them.
trainersLevelModified	Checking this will enable a percentage-based level modifier for every enemy trainer Pokemon in the game.
trainersMatchTypingDistribution	If this is checked, the number of trainers with each type will roughly match up to the number of Pokemon with that type. This should reduce repetition of Pokemon, but may lead to a lot of trainers with the same type in a row.
trainersBlockEarlyWonderGuard	Pokemon such as Shedinja, with the ability "Wonder Guard", are a pain to run into early on when you can't damage them. Selecting this option will make sure that no trainers are given these Pokemon under level 20. By the time you are fighting level 20 trainers you can reasonably be expected to have a counter for each type.
allowTrainerAlternateFormes	Allow trainers to have alternate formes of Pokemon, such as the various formes of Rotom or Deoxys. Note that their traits are randomized/shuffled separately from their base formes.
swapTrainerMegaEvos	Swap Trainer Pokemon capable of Mega Evolution with another Pokemon capable of Mega Evolution. This only affects Trainer Pokemon that actually hold a Mega Stone (so, for example, it will affect Diantha's Gardevoir but not every Gardevoir) If the "Limit Pokemon" general option is used to remove all Mega Evolutions from the game, this setting will be disabled.
shinyChance	Gives a 1/256 chance of Trainer Pokemon being shiny.
eliteFourUniquePokemonNumber	Enabling this setting will ensure that Pokemon League Trainers (Elite Four, Champions and BW1 N/Ghetsis) are given the specified number of unique Pokemon that will not appear on any other Trainer. The Elite Four Trainers' highest level Pokemon are the ones that will be unique; in the case of a level tie, it will be the Pokemon further back in the party. Does not apply to postgame Pokemon League battles.
doubleBattleMode	Sets all Trainer battles to be double battles instead of single battles. The first rival battle is excluded. Be aware that there are a few issues with this mode. In particular: Entering a double battle with a single Pokemon causes some generation-dependent issues: Gen 3: The empty spot will be filled by a duplicate of the single Pokemon, and entering the "Pokémon" menu will softlock the game.Gen 4: The empty spot will be filled by a garbled sprite that only can use Struggle.Gen 6/7: The empty spot will be filled by a shiny Bulbasaur that cannot act.In Gen 5 games, Trainer pairs that are double battles in the regular game will have one incorrect text box if you let them spot you.In Gen 6 games, regular Trainers will have some text issues if you talk to them directly.
additionalBossTrainerPokemon	Check this to add additional Pokemon to "Boss" Trainers (select amount of new Pokemon below). Trainers will not get more than 6 total Pokemon. Boss Trainers include Gym Leaders, Kahunas, Team Leaders, Elite Four, and Champions.
additionalImportantTrainerPokemon	Check this to add additional Pokemon to "Important" Trainers (select amount of new Pokemon below). Trainers will not get more than 6 total Pokemon. Important Trainers include Rivals/Friends, Team Admins, and other important story battles (such as Colress in BW2 and Sycamore in XY).
additionalRegularTrainerPokemon	Check this to add additional Pokemon to regular Trainers (select amount of new Pokemon below). Trainers will not get more than 6 total Pokemon. Regular Trainers include all trainers that don't qualify as "Boss" or "Important" Trainers.
randomizeHeldItemsForBossTrainerPokemon	Check this to add or replace held items for the Pokemon of "Boss" Trainers. Boss Trainers include Gym Leaders, Kahunas, Team Leaders, Elite Four, and Champions.
randomizeHeldItemsForImportantTrainerPokemon	Check this to add or replace held items for the Pokemon of "Important" Trainers. Important Trainers include Rivals/Friends, Team Admins, and other important story battles (such as Colress in BW2 and Sycamore in XY).
randomizeHeldItemsForRegularTrainerPokemon	Check this to add or replace held items for the Pokemon of regular Trainers. Regular Trainers include all trainers that don't qualify as "Boss" or "Important" Trainers.
betterTrainerMovesets	Attempts to give Trainer Pokemon better movesets by including TM moves/tutor moves/egg moves/pre-evolution moves, and picking moves that synergize with the Pokemon's ability/stats/other moves.
totemPokemonMod	Don't change Totem Pokemon species.
allyPokemonMod	Don't change Ally Pokemon.
auraMod	Don't change auras.
totemLevelsModified	Checking this will enable a percentage-based level modifier for every Totem/Ally Pokemon.
randomizeTotemHeldItems	Replace Totem Pokemon's held items with different consumable items.
allowTotemAltFormes	Allows alternate formes of Pokemon to appear as Totem/Ally Pokemon.
wildPokemonMod	Don't change Wild Pokemon at all.
wildPokemonRestrictionMod	Don't apply any other rules.
useTimeBasedEncounters	This affects games that have either seasons or morning/day/night encounter sets. If this is checked, each of these sets will be treated as a separate "area". So you will have to visit each place in morning/day/night, or in each season, to collect the Pokemon. If this isn't checked, all of morning/day/night and all seasons will use the same encounter data.
useMinimumCatchRate	If this is selected, every Pokemon in the game with a catch rate below a certain level will have its catch rate increased.n The exact minimum catch rate level can be set using the slider to the right.n The percentages below assume a normal Poke Ball is used while the wild Pokemon is at full health with no status condition.n Level 1: "Normal" minimum catch rate. ~10% (Gens 1-4)/~18% (Gens 5+) chance for normal Pokemon, ~5% (Gens 1-4)/~10% (Gens 5+) chance for legendary Pokemon.n Level 2: "Buffed" minimum catch rate. ~17% (Gens 1-4)/~26% (Gens 5+) chance for normal Pokemon, ~9% (Gens 1-4)/~16% (Gens 5+) chance for legendary Pokemon.n Level 3: "Super" minimum catch rate. ~27% (Gens 1-4)/~37% (Gens 5+) chance for normal Pokemon, ~14% (Gens 1-4)/~22% (Gens 5+) chance for legendary Pokemon.n Level 4: "Ultra" minimum catch rate. ~34% (Gens 1-4)/~44% (Gens 5+) chance for all Pokemon. n Level 5: Guaranteed catches (every Pokemon is guaranteed to be caught, so long as they are catchable in the first place).
randomizeWildPokemonHeldItems	Checking this will randomize the items held by Pokemon in the wild, including whether they can have one at all or not. In some cases, these item definitions will also apply to static encounters with legendaries and the like.
banBadRandomWildPokemonHeldItems	Checking this will remove "bad" items that don't do much from the set of possible random items for wild Pokemon, such as berries and mail.
balanceShakingGrass	Checking this will tune down shaking grass Pokemon at lower levels.
wildLevelsModified	Checking this will enable a percentage-based level modifier for every wild Pokemon in the game.
wildLevelModifier	Use this slider to select the percentage to change wild Pokemon levels by. Negative percentages (-50 to 0) will decrease levels, and positive percentages will increase them.
minimumCatchRateLevel	If Minimum Catch Rate is selected, allows you to set the level used. The percentages below assume a normal Poke Ball at full health.n Level 1: "Normal" minimum catch rate. ~10% (Gens 1-4)/~18% (Gens 5+) chance for normal Pokemon, ~5% (Gens 1-4)/~10% (Gens 5+) chance for legendary Pokemon.n Level 2: "Buffed" minimum catch rate. ~17% (Gens 1-4)/~26% (Gens 5+) chance for normal Pokemon, ~9% (Gens 1-4)/~16% (Gens 5+) chance for legendary Pokemon.n Level 3: "Super" minimum catch rate. ~27% (Gens 1-4)/~37% (Gens 5+) chance for normal Pokemon, ~14% (Gens 1-4)/~22% (Gens 5+) chance for legendary Pokemon.n Level 4: "Ultra" minimum catch rate. ~34% (Gens 1-4)/~44% (Gens 5+) chance for all Pokemon. n Level 5: Guaranteed catches (every Pokemon is guaranteed to be caught, so long as they are catchable in the first place).
allowWildAltFormes	Allow alternate formes of Pokemon, such as the various formes of Rotom or Deoxys, to appear as Wild Pokemon. Note that their traits are randomized/shuffled separately from their base formes.
tmsMod	Leave the moves in TMs as they are. If Metronome Only Mode is selected, all TMs are changed to Metronome and this setting has no effect.
blockBrokenTMMoves	Checking this checkbox will stop moves that can break early/late games being available in randomized TMs. In first generation games, Dragon Rage, SonicBoom, Spore, and every OHKO move are banned. In second generation onwards, only SonicBoom and Dragon Rage are banned (because OHKO moves and sleep are significantly less broken).
keepFieldMoveTMs	If you select this, TMs that contain field-use moves will be left alone. This includes things like Dig & Teleport, but not healing moves (Softboiled).
tmsForceGoodDamaging	Selecting this option will allow you to use the slider below to select a proportion of the randomized TMs to be forced to be good damaging moves. Note that other TMs can still be selected as good damaging moves randomly, this is simply an additional chance.
tmsGoodDamagingPercent	Use this slider to select the probability of good damaging moves for the option above. Note that other TMs can still be selected as good damaging moves randomly, this is simply an additional chance.
tmsHmsCompatibilityMod	Every Pokemon will be able to learn the same TMs that it could before. Note that this applies even if you change the TM moves, which could lead to some odd combinations.
tmsFollowEvolutions	When this is selected and TM compatibility is randomized, evolutions of a Pokemon will inherit that Pokemon's TM compatibilities. Additionally, when a Pokemon evolves, each TM will have: Random (prefer same type): A 90% chance of becoming learnable if the Pokemon just gained its type through evolution, a 10% chance otherwise. Random (completely): A 25% chance of becoming learnable regardless of type.
tmLevelUpMoveSanity	If you select this option, then Pokemon will be guaranteed to learn TMs of moves that they learn by levelup. Otherwise, move compatibility will be left alone or decided randomly, depending on your other choices.
fullHMCompat	If you select this option, then every Pokemon will learn every HM, regardless of any other options you check.
moveTutorMovesMod	Leave the moves taught by tutors as they are. If Metronome Only Mode is selected, all Move Tutors are changed to Metronome and this setting has no effect.
tutorsGoodDamagingPercent	Use this slider to select the probability of good damaging moves for the option above. Note that other tutors can still be selected as good damaging moves randomly, this is simply an additional chance.
blockBrokenTutorMoves	Checking this checkbox will stop moves that can break early/late games being available in randomized move tutors. In first generation games, Dragon Rage, SonicBoom, Spore, and every OHKO move are banned. In second generation onwards, only SonicBoom and Dragon Rage are banned (because OHKO moves and sleep are significantly less broken).
keepFieldMoveTutors	If you select this, move tutors that contain field-use moves will be left alone. This includes things like Headbutt, but not healing moves (Softboiled).
tutorsForceGoodDamaging	Selecting this option will allow you to use the slider below to select a proportion of the randomized tutors to be forced to be good damaging moves. Note that other tutors can still be selected as good damaging moves randomly, this is simply an additional chance.
moveTutorsCompatibilityMod	Every Pokemon will be able to learn the same move tutor moves that it could before. Note that this applies even if you randomize the moves, which could lead to some odd combinations.
tutorFollowEvolutions	When this is selected and move tutor compatibility is randomized, evolutions of a Pokemon will inherit that Pokemon's move tutor compatibilities. Additionally, when a Pokemon evolves, each move will have: Random (prefer same type): A 90% chance of becoming learnable if the Pokemon just gained its type through evolution, a 10% chance otherwise. Random (completely): A 25% chance of becoming learnable regardless of type.
tutorLevelUpMoveSanity	If you select this option, then Pokemon will be guaranteed to learn move tutors of moves that they learn by levelup. Otherwise, move compatibility will be left alone or decided randomly, depending on your other choices.
fieldItemsMod	Items on the ground and hidden items remain the same.
banBadRandomFieldItems	Checking this will remove "bad" items that don't do much from the set of possible random items for field items, such as berries and mail.
shopItemsMod	Items in shops remain the same.
banOPShopItems	Checking this will remove overpowered shop items from the pool, such as the Lucky Egg and items that sell for high prices to maniacs.
banBadRandomShopItems	Checking this will remove "bad" items that don't do much from the set of possible random items for shop items, such as berries and mail.
banRegularShopItems	Checking this will remove regular shop items from the possible random items for shop items.
balanceShopPrices	Checking this will change prices for many items in order to make them more balanced. Be aware: prices for some items are seriously imbalanced without this setting.
guaranteeEvolutionItems	Checking this will ensure all evolution items appear in shops.
pickupItemsMod	Items obtained via the Pickup ability remain the same.
banBadRandomPickupItems	Checking this will remove "bad" items that don't do much from the set of possible random items for the Pickup item table, such as berries and mail.
