# base id	target evo id (0 = single evolution)	evo:percent,...  (PokemonRevoData.lua, converted by tools/trainer-data/convert_revos.py)
48	0	205:8.93838,24:8.01891,302:7.4,391:6.95543,93:6.87567,312:6.29198,368:6.23977,379:5.92843,110:5.88704,2:5.66458,47:5.00361,42:4.84841,211:4.02199,45:3.85277,71:3.76884,31:3.69843,34:3.69178,127:0.29836,12:0.23428,212:0.23343,292:0.23208,123:0.21505,386:0.20296,387:0.20229,166:0.2022,193:0.1889,213:0.15138,89:0.10348,70:0.09953,168:0.0967,294:0.09396,15:0.09351,44:0.08596,363:0.06776,214:0.05599,94:0.0412,73:0.01335,30:0.00058,169:0.00054,33:0.00045,3:4e-05
50	0	95:18.0831,75:16.9506,247:15.0176,105:14.6731,207:11.597,284:9.85965,195:8.39235,111:2.15429,28:1.05553,231:0.63626,221:0.62902,340:0.44439,333:0.25275,112:0.1113,76:0.10986,324:0.03321
52	0	289:5.42589,40:5.28557,372:5.25649,20:5.23812,385:5.2032,36:5.142,162:5.11262,380:4.96016,206:4.9429,365:4.89078,234:4.77153,176:4.72754,210:4.72691,317:4.72358,113:4.59961,305:4.51302,18:4.37023,85:4.36142,164:4.24697,22:4.24423,203:3.2561,128:0.00036,115:0.00018,137:0.00013,217:0.00013,241:0.00013,108:9e-05,316:9e-05
54	0	329:4.71266,130:4.1727,9:4.03691,160:4.03484,131:3.99611,343:3.8623,134:3.75751,99:3.73586,375:3.52301,374:3.51384,119:3.46136,224:3.34291,91:3.17931,327:3.16255,186:3.13393,314:3.06563,285:2.9568,87:2.93541,226:2.91843,331:2.88127,230:2.80537,381:2.51034,324:2.35182,139:2.27336,141:2.26361,121:2.2424,171:2.16179,73:2.12153,199:1.98291,80:1.97478,297:1.9236,62:1.7742,8:0.49171,159:0.48569,184:0.47971,313:0.47203,342:0.32482,117:0.25626,310:0.23073,284:0.21276,195:0.14806,211:0.12918
56	0	237:16.0104,107:16.0059,106:15.9641,336:12.7167,357:9.18251,214:9.14683,307:7.62197,62:5.78545,67:3.26936,68:2.9408,281:1.16,282:0.19595
58	0	157:14.2694,136:14.2694,78:13.4059,38:13.2713,282:12.4903,6:12.4334,229:10.4531,321:4.15127,126:3.78443,340:1.47144
60	0	140:15.4717,138:15.4479,8:10.2464,159:10.2339,184:10.1803,222:10.1356,313:9.9479,342:8.98098,284:7.3281,120:0.37829,325:0.37749,373:0.35713,296:0.31206,72:0.25805,170:0.19753,117:0.04862,310:0.04471,195:0.02745,211:0.0257,158:9e-05,7:4e-05,54:4e-05
61	62	329:4.7075,130:4.16964,9:4.08634,160:4.08485,131:4.0596,343:3.92435,99:3.82132,134:3.77836,375:3.56484,374:3.56223,119:3.48054,224:3.40694,91:3.21571,327:3.20654,314:3.10903,55:3.08544,285:3.00641,87:3.0047,226:2.98147,331:2.9657,230:2.83633,381:2.5692,324:2.41176,141:2.36197,139:2.33757,121:2.27943,171:2.22164,73:2.15577,199:2.03041,80:2.01765,297:2.00075,8:0.51624,159:0.51615,184:0.50644,313:0.49926,342:0.36522,117:0.31179,310:0.27517,284:0.23276,195:0.17857,211:0.15439
61	186	329:4.86845,130:4.29559,9:4.19948,160:4.18173,131:4.11339,343:3.97863,134:3.88351,99:3.85017,374:3.64204,375:3.63296,119:3.55554,224:3.4397,91:3.28302,327:3.24339,314:3.13411,55:3.12732,87:3.05062,285:3.0402,226:2.99207,331:2.95473,230:2.8925,381:2.5728,324:2.40915,139:2.35685,141:2.33137,121:2.28527,171:2.21037,73:2.19491,199:2.04847,80:2.01311,297:1.98138,159:0.33188,313:0.33062,8:0.3264,184:0.32554,342:0.22291,117:0.18535,310:0.17052,284:0.14554,195:0.1042,211:0.09423
63	0	202:20.3068,399:16.2396,411:15.8277,349:12.7326,348:12.7017,357:11.0194,122:2.38862,124:1.81199,203:1.1485,96:1.12352,201:1.10572,351:1.10518,177:0.929,102:0.86434,352:0.44161,178:0.25365
64	0	352:10.5083,122:10.168,196:10.0375,394:9.84357,97:9.23382,124:8.46133,178:7.66205,203:6.40697,319:5.92088,103:5.59403,121:4.63974,80:4.1496,199:4.14008,399:0.79263,411:0.76324,202:0.67095,349:0.44601,348:0.43181,357:0.12887
66	0	106:18.1013,237:18.0681,107:18.0656,57:12.7932,281:12.2599,357:9.98062,307:8.29008,336:2.44128
67	0	237:15.3159,106:15.2697,107:15.2335,336:11.7203,57:10.6994,282:9.3014,214:8.30819,307:6.87913,62:5.19116,281:1.15659,357:0.92455
69	0	388:10.0716,33:8.62834,30:8.62749,278:8.31696,153:8.2984,192:7.38261,93:7.18328,294:6.13607,2:6.04202,168:5.98873,15:5.97763,44:5.75395,363:5.41331,47:5.36384,299:0.13174,296:0.12523,109:0.12217,344:0.1202,188:0.11764,72:0.11215,24:0.05006,114:0.02745,211:0.00903,1:4e-05,307:4e-05
70	0	24:6.57569,154:6.36972,182:5.13468,89:5.06252,368:5.04135,110:4.78325,379:4.78218,114:4.54165,189:4.47443,369:4.34394,345:4.30907,49:3.98667,3:3.88953,42:3.86625,300:3.84167,389:3.62572,94:3.38901,103:3.36727,45:3.01086,307:2.96938,31:2.89758,34:2.87462,73:2.57958,297:2.3843,279:0.5689,169:0.31575,192:0.28834,153:0.12505,278:0.12132,93:0.07297,294:0.06044,168:0.05819,15:0.0581,211:0.05437,44:0.05064,2:0.04776,47:0.04107,363:0.03617
72	0	169:4.27295,329:3.73783,89:3.54938,368:3.54561,110:3.36745,130:3.32755,9:3.23736,131:3.21261,160:3.20987,343:3.06082,134:2.99558,99:2.96853,374:2.81216,375:2.80618,3:2.6863,224:2.65633,91:2.53645,327:2.52805,186:2.49021,314:2.4562,55:2.43786,285:2.37114,87:2.35173,94:2.33416,226:2.32719,230:2.23962,45:2.02776,381:1.99482,71:1.94652,31:1.91614,34:1.90437,324:1.88779,139:1.84317,141:1.84137,121:1.79689,80:1.59415,199:1.59028,297:1.5595,62:1.42268,24:0.26205,379:0.21761,49:0.14567,42:0.13139,117:0.09921,119:0.09014,310:0.06228,331:0.05338,195:0.03797,211:0.03042,171:0.02534
74	0	320:10.0339,140:9.29619,138:9.28428,185:9.22209,388:8.46447,95:8.16778,51:7.77434,390:7.26021,247:6.83572,105:6.73732,222:6.25069,219:5.99228,284:4.67461,383:0.00202,111:0.00171,333:0.00058,348:0.00058,349:0.00049,207:0.00031,195:0.00018,104:9e-05,382:9e-05,231:4e-05
75	0	232:7.11782,213:6.59955,28:6.33912,391:6.30776,384:6.3047,142:5.38626,208:5.12376,112:4.87204,348:4.78487,349:4.74389,221:4.72295,334:4.52875,340:4.15679,389:4.01651,319:3.95028,381:3.35015,324:3.19261,31:3.19144,34:3.19072,141:3.09672,139:3.08324,383:0.70995,105:0.34599,185:0.20427,207:0.19915,51:0.1339,247:0.09526,285:0.08331,219:0.07082,195:0.06812,284:0.02858
77	0	321:14.295,126:11.1582,136:10.7601,157:10.7237,38:10.1089,282:9.46752,6:9.45624,340:8.79963,229:7.95695,59:2.48428,156:1.49386,5:1.49107,219:1.08689,281:0.71768
79	80	352:4.16115,122:3.9935,196:3.98717,394:3.88095,65:3.68144,97:3.61139,124:3.33864,178:2.97316,160:2.95024,9:2.9404,131:2.91398,343:2.79464,134:2.76507,99:2.75981,374:2.59288,375:2.57972,119:2.5231,224:2.47507,203:2.45107,327:2.37433,91:2.35393,186:2.33249,55:2.25498,314:2.25431,319:2.2172,87:2.21369,285:2.19967,226:2.16404,331:2.15937,103:2.1302,381:1.88303,324:1.78363,139:1.73861,141:1.73654,121:1.70433,171:1.65427,73:1.61464,297:1.48065,62:1.37487,399:0.1441,411:0.13485,329:0.08021,349:0.0754,348:0.07477,64:0.07302,202:0.06875,130:0.06156,117:0.04341,310:0.03689,230:0.0288,313:0.02575,8:0.02422,195:0.02363,184:0.02337,159:0.02256,211:0.01955,342:0.01779,357:0.0124,284:0.01083
79	199	352:4.24082,122:4.05201,196:4.04352,394:3.92512,65:3.69236,97:3.66567,124:3.34372,178:2.99773,9:2.97298,160:2.96466,131:2.95487,343:2.82793,99:2.76502,134:2.75384,374:2.61009,375:2.60542,119:2.54701,203:2.4752,224:2.46352,91:2.38502,327:2.34908,186:2.34067,55:2.28837,314:2.27417,319:2.25081,285:2.2172,87:2.21144,226:2.17222,331:2.15815,103:2.12751,381:1.86797,324:1.79644,139:1.74409,141:1.73524,121:1.70284,171:1.65535,73:1.61688,297:1.49237,62:1.36193,399:0.05459,411:0.04992,349:0.02952,348:0.02939,329:0.02925,130:0.02346,202:0.02098,64:0.0208,117:0.01465,310:0.01442,230:0.00953,195:0.00935,159:0.00737,313:0.00701,184:0.00643,211:0.00629,8:0.00575,342:0.00463,357:0.00386,284:0.00355
81	0	383:12.6349,205:10.7198,212:10.4941,227:9.4278,399:8.5635,26:7.2191,338:7.20283,101:7.14864,181:7.12487,125:7.11099,208:6.8714,171:4.44109,353:0.3401,354:0.33224,135:0.2297,384:0.12631,355:0.01258
84	0	217:3.50049,289:3.43539,40:3.37634,372:3.36704,385:3.34395,123:3.28526,36:3.28252,162:3.26675,128:3.25125,241:3.24752,115:3.20978,380:3.15756,227:3.14197,206:3.12368,53:3.12189,365:3.10939,234:3.06815,210:2.99702,317:2.99549,302:2.96808,113:2.92656,305:2.86491,18:2.78686,22:2.68657,164:2.68271,312:2.55487,178:2.37698,207:2.37666,189:2.29888,369:2.23782,203:2.05997,310:2.0345,42:2.02987,359:1.94872,226:1.88455,198:4e-05
86	0	99:4.79664,375:4.5345,374:4.5057,117:4.49757,119:4.42958,224:4.31271,310:4.1829,327:4.08135,186:4.00698,314:3.92862,55:3.87672,226:3.76048,331:3.69667,195:3.45992,211:3.37212,381:3.21822,324:3.01755,141:2.93703,139:2.91816,121:2.88522,171:2.78125,73:2.72369,80:2.54651,199:2.53914,297:2.51394,62:2.28554,159:0.85778,8:0.8549,184:0.83212,329:0.61029,342:0.59905,61:0.52846,130:0.47742,160:0.44534,9:0.44066,131:0.41864,284:0.38459,343:0.37443,134:0.3703,313:0.28119,91:0.27117,285:0.22817,230:0.21676
88	0	169:11.2988,368:9.48859,110:9.04263,379:9.02636,49:7.42103,3:7.29202,42:7.26376,94:6.34393,45:5.6719,71:5.50862,34:5.3793,31:5.37498,73:4.87586,24:2.5537,93:1.31489,2:0.88568,363:0.7028,211:0.55511
90	0	329:5.80513,130:5.03825,160:4.97364,9:4.97094,131:4.8862,343:4.71302,134:4.58236,99:4.56088,375:4.29263,374:4.28827,224:4.10543,186:3.86086,314:3.72642,55:3.70831,285:3.63166,87:3.58299,230:3.41674,381:3.06415,141:2.79369,139:2.78533,121:2.77554,73:2.59383,80:2.42074,199:2.42016,297:2.37572,62:2.16696,119:0.36962,117:0.33264,310:0.30896,327:0.29067,331:0.24938,226:0.2452,195:0.20404,211:0.17403,324:0.15062,171:0.13498
92	0	322:10.6851,33:9.66613,30:9.6641,24:9.1888,200:8.66559,70:6.81299,294:6.80733,2:6.70384,15:6.66421,168:6.6426,44:6.34213,363:6.02773,211:4.79395,378:0.44412,362:0.43226,379:0.11876,49:0.08048,42:0.07225,88:0.06569,109:0.05383,72:0.04947,368:0.01222,71:0.0035,45:0.00292
93	0	378:11.4727,362:11.4066,169:8.57051,368:7.24579,89:7.22611,379:6.92307,110:6.90348,49:5.82346,42:5.67428,3:5.65955,45:4.46899,71:4.32565,34:4.28683,31:4.26095,73:3.89348,200:0.94315,24:0.60759,2:0.11341,211:0.10263,363:0.09121
95	0	232:8.45207,213:7.7716,391:7.46574,384:7.42646,142:6.39628,112:5.75162,76:5.74151,334:5.3167,340:4.9363,389:4.7394,319:4.67124,285:4.60703,381:3.97288,324:3.78605,34:3.77746,31:3.77369,139:3.65682,141:3.65026,28:0.59658,248:0.58148,185:0.51849,383:0.48856,348:0.36576,349:0.36472,221:0.34567,247:0.25163,105:0.23186,219:0.19079,207:0.12855,195:0.04282
96	0	352:9.2868,122:8.99397,196:8.81248,394:8.60929,65:8.17195,124:7.45302,178:6.72123,349:6.23016,348:6.19884,203:5.63816,319:5.21048,103:4.92776,121:4.05452,80:3.65093,199:3.63422,399:0.60296,411:0.58364,64:0.5658,202:0.54118,357:0.1126
98	0	117:4.53576,375:4.53576,374:4.53199,119:4.48202,224:4.33113,310:4.2046,327:4.10665,186:4.03588,55:3.9541,314:3.94412,87:3.80833,226:3.7949,331:3.74695,195:3.48522,211:3.39423,381:3.23921,324:3.04554,141:2.94444,139:2.94274,121:2.88715,171:2.80924,73:2.77675,80:2.58125,199:2.56044,297:2.51452,62:2.2934,8:0.90676,159:0.87562,184:0.86074,329:0.63855,342:0.60903,61:0.54325,130:0.50123,9:0.46888,160:0.45518,131:0.41968,284:0.40993,343:0.39595,134:0.38751,313:0.29135,91:0.27661,285:0.24552,230:0.2279
100	0	135:18.0218,338:12.866,26:12.8528,125:12.6927,82:12.6695,181:12.6497,171:7.91902,354:5.17939,353:5.1491
102	0	279:8.85005,352:7.10519,154:6.87104,196:6.76792,394:6.68183,65:6.30627,97:6.20468,182:5.58994,178:5.16209,345:4.75877,3:4.32022,300:4.25192,389:4.05726,319:3.93473,45:3.38043,71:3.27367,121:3.08917,80:2.76606,199:2.7644,297:2.75411,122:0.21945,400:0.188,124:0.14985,189:0.09782,369:0.08915,203:0.07778,399:0.05877,411:0.0572,192:0.04803,307:0.03401,349:0.0315,348:0.03127,114:0.02741
104	0	95:13.7556,51:12.9392,75:12.8592,247:11.2234,28:10.3222,207:8.59357,221:7.89836,284:7.19443,340:7.14815,195:6.15593,111:0.69467,232:0.35192,76:0.29872,112:0.28497,319:0.09162,324:0.08753,31:0.05104,34:0.04956
109	0	169:11.1396,368:9.46136,89:9.38588,379:8.91709,49:7.38346,3:7.22354,42:7.20283,94:6.29288,45:5.63897,71:5.46602,34:5.34645,31:5.34524,73:4.83394,24:2.41203,93:1.19581,2:0.79842,44:0.79546,363:0.64035,211:0.52069
111	0	232:7.14401,213:6.58288,28:6.29944,391:6.29491,384:6.2825,142:5.40024,208:5.0604,76:4.87977,348:4.7784,349:4.75176,221:4.73796,334:4.51271,340:4.16506,389:4.01804,319:3.95131,381:3.36574,31:3.20659,324:3.20582,34:3.18803,141:3.0912,139:3.09057,383:0.7082,105:0.33781,207:0.19317,185:0.18036,75:0.12527,51:0.11467,247:0.08942,285:0.08704,195:0.06605,219:0.06502,284:0.02566
113	0	233:18.1667,217:17.3497,115:16.0632,241:16.0479,128:16.0427,143:13.4573,372:0.65571,36:0.63895,234:0.54918,18:0.44817,85:0.42269,380:0.02548,53:0.02368,365:0.02256,210:0.02224,317:0.02071,164:0.01878,22:0.01712,203:0.00737
116	0	8:7.20148,159:7.15003,184:7.13574,313:6.94954,342:6.10884,99:5.46328,119:5.11653,224:4.92488,284:4.83758,310:4.83614,327:4.73082,87:4.38038,226:4.36362,331:4.33158,195:4.01584,211:3.97531,324:3.60236,171:3.34615,297:2.99549,61:1.0146,222:0.73673,140:0.6665,138:0.66286,375:0.22467,374:0.21379,186:0.17111,314:0.15704,55:0.1565,381:0.09396,141:0.07252,134:0.07207,139:0.07194,91:0.05316,80:0.04961,199:0.04794,62:0.03756,121:0.01739,73:0.01447
117	0	329:7.54082,130:6.67518,160:6.53422,9:6.5105,131:6.42306,343:6.20787,134:6.06215,91:5.15472,186:5.08229,314:4.94663,55:4.92313,285:4.81893,139:3.763,141:3.72588,121:3.65772,73:3.4991,199:3.28302,80:3.26769,62:2.92503,99:0.63545,374:0.56382,375:0.55722,224:0.4962,327:0.42795,87:0.39878,226:0.38117,331:0.37874,119:0.34464,381:0.24579,324:0.227,171:0.20099,297:0.14132
118	0	159:6.14465,8:6.13076,184:6.08286,342:5.19098,99:4.59449,117:4.35099,375:4.27762,374:4.26683,224:4.11069,284:4.05762,310:4.0126,327:3.88274,87:3.63026,226:3.60285,331:3.59072,195:3.3235,211:3.2849,381:3.10818,324:2.93932,141:2.83602,139:2.81971,171:2.71052,199:2.47381,80:2.46945,297:2.42865,61:1.11767,313:0.68191,222:0.45756,186:0.17901,55:0.15695,314:0.15426,160:0.14298,9:0.13952,131:0.12887,134:0.11813,343:0.11489,91:0.08416,285:0.0692,73:0.05873,62:0.04102,121:0.03437
120	0	329:5.38815,130:4.76892,9:4.63569,160:4.62253,131:4.56861,343:4.38209,134:4.28027,99:4.27852,374:3.99553,375:3.99184,224:3.8038,91:3.66495,186:3.58295,327:3.55837,55:3.46136,314:3.44914,285:3.3674,87:3.35644,230:3.19158,381:2.81288,324:2.68864,139:2.57846,141:2.56022,73:2.41958,199:2.24753,80:2.23966,297:2.21625,62:2.00893,119:0.33426,117:0.33022,310:0.29849,331:0.22224,226:0.2195,195:0.19339,211:0.16742,171:0.11422
123	0	127:7.96297,205:7.04017,227:6.17988,302:5.83438,169:5.67927,213:5.67002,391:5.46898,18:5.36227,85:5.34047,142:4.72781,130:4.64216,178:4.56456,189:4.39031,369:4.29051,6:4.05578,49:3.92354,359:3.68567,214:3.67317,42:3.6437,226:3.49322,305:0.06425,164:0.05711,22:0.0559,207:0.0372,149:0.02444,397:0.02444,198:0.02328,310:0.01766,386:0.0173,176:0.01703,387:0.01663,312:0.01069,47:0.00521
