90	Fissure	A one-hit KO move. This move is 1% more accurate for each level above the target. Fails if target is higher level. Can hit Pokémon using Dig.	
91	Dig	Attacks on 2nd turn. Can still be hit by Earthquake, Fissure, and Magnitude. Can be used outside of battle.	
92	Toxic	Poisons the target, losing increasing amounts of the their max HP at the end of each turn.	
93	Confusion	Deals damage and has a 10% chance of confusing the target.	
94	Psychic	Deals damage and has a 10% chance of lowering the target's Special Defense by one stage.	
95	Hypnosis	Puts the target to sleep, lasts 2-5 turns. Fails against Insomnia or Vital Spirit.	
96	Meditate	Increases the user's Attack by one stage.	
97	Agility	Increases the user's Speed by two stages.	
98	Quick Attack	This is an increased priority move, causing the user to attack before most other moves.	
99	Rage	When used consecutively, Attack stat increases by one stage when damaged by an attack.	
100	Teleport	Flees from wild Pokémon battles only. Fails if trapped by Block, Mean Look, Spider Web, or Ingrain. Can be used outside of battle.	
101	Night Shade	Deals exact damage equal to the user's level.	
102	Mimic	Copies the target's last used move. Fails against Sketch, Transform, Metronome, or a move already learned.	
103	Screech	Decreases the target's Defense stat by two stat stages. Fails against Soundproof ability.	
104	Double Team	Increases the user's evasion by one stage.	
105	Recover	Restores up to 50% of the user's max HP.	
106	Harden	Increases the user's Defense stat by one stage.	
107	Minimize	Increases evasion by one stage. User will now receive double damage from Stomp, Astonish, Extrasensory, and Needle Arm.	
108	SmokeScreen	Lowers the target's accuracy stat by one stage. (100% -> 75% -> 60% -> 50% ...)	
109	Confuse Ray	Causes the target to become confused for 2-5 turns. 50% chance to damage self as a 40 power Physical move.	
110	Withdraw	Increases the user's Defense by one stage.	
111	Defense Curl	Increases the user's Defense by one stage. Also doubles the power of user's Rollout and Ice Ball.	
112	Barrier	Increases the user's Defense by two stages.	
113	Light Screen	For 5 turns, halves the damage done to user's team by Special moves.	
114	Haze	Resets the stat stages of all active Pokémon on the field to 0.	
115	Reflect	For 5 turns, halves the damage done to user's team by Physical moves.	
116	Focus Energy	Increases the user's critical hit ratio by two stages. (+2 stages = 1/4 or 25%)	
117	Bide	Endures attacks for two consecutive turns. Deals damage equal to twice the damage received.	
118	Metronome	Randomly selects a move to use, and a random target if necessary.	
119	Mirror Move	Uses the last move targeted at the user by a Pokémon still on the field.	
120	Selfdestruct	The target's Defense is halved, effectively doubling the power of this move.	
121	Egg Bomb	Deals damage and has no secondary effect.	
122	Lick	Deals damage and has a 30% chance of paralyzing the target.	
123	Smog	Deals damage and has a 40% chance of poisoning the target.	
124	Sludge	Deals damage and has a 30% chance of poisoning the target.	
125	Bone Club	Deals damage and has a 10% chance of causing the target to flinch.	
126	Fire Blast	Deals damage and has a 10% chance of burning the target.	
127	Waterfall	Deals damage and has no secondary effect.	
128	Clamp	Deals damage and inflicts 1/16 of the target's max HP as damage for 2-5 turns. Prevents the target from switching out or fleeing.	
129	Swift	Deals damage and bypasses accuracy checks to always hit, unless the target is in the semi-invulnerable turn of a move such as Dig or Fly.	
130	Skull Bash	Raises the user's Defense by one stage. On the following turn, it deals damage.	
131	Spike Cannon	Hits 2-5 times in one turn. Two: 37.5%, Three: 37.5%, Four: 12.5%, Five: 12.5%. Any of the hits can be a critical hit.	
132	Constrict	Deals damage and has a 10% chance of lowering the target's Speed by one stage.	
133	Amnesia	Increases the user's Special Defense by two stages.	
134	Kinesis	Lowers the target's accuracy stat by one stage. (100% -> 75% -> 60% -> 50% ...)	
135	Softboiled	Restores up to 50% of the user's max HP. Can be used outside of battle to transfer 20% of max HP to another Pokemon.	
136	Hi Jump Kick	If the move misses, the user is hurt for 1/2 of the damage it would have dealt.	
137	Glare	Paralyzes the target, reducing their Speed by 75%, and a 25% chance they will fail to act. Fails against Ghosts.	
138	Dream Eater	Fails if target is not asleep. 50% of the damage dealt is restored to the user as HP.	
139	Poison Gas	Poisons the target, losing 1/8 of the their max HP at the end of each turn.	
140	Barrage	Hits 2-5 times in one turn. Two: 37.5%, Three: 37.5%, Four: 12.5%, Five: 12.5%. Any of the hits can be a critical hit.	
141	Leech Life	50% of the damage dealt is restored to the user as HP.	
142	Lovely Kiss	Puts the target to sleep, lasts 2-5 turns. Fails against Insomnia or Vital Spirit.	
143	Sky Attack	Attacks on 2nd turn, 30% chance to flinch target. Has increased critical-hit ratio. (+1 stage = 1/8 or 12.5%).	
144	Transform	Turns into the target by copying everything about it (even stat changes), except the current and max HP. Each move's PP will become 5.	
145	Bubble	Deals damage and has a 10% chance of lowering the target's Speed stat by one stage.	
146	Dizzy Punch	Deals damage and has a 20% chance of confusing the target.	
147	Spore	Puts the target to sleep, lasts 2-5 turns. Fails against Insomnia or Vital Spirit.	
148	Flash	Lowers the target's accuracy stat by one stage. (100% -> 75% -> 60% -> 50% ...)	
149	Psywave	Deals a random amount of damage, varying between 50% and 150% of the user's level. Minimum of 1 damage.	
150	Splash	Deals no damage and has no effect whatsoever.	
151	Acid Armor	Increases the user's Defense by two stages.	
152	Crabhammer	Deals damage and has an increased critical-hit ratio. (+1 stage = 1/8 or 12.5%)	
153	Explosion	The target's Defense is halved, effectively doubling the power of this move.	
154	Fury Swipes	Hits 2-5 times in one turn. Two: 37.5%, Three: 37.5%, Four: 12.5%, Five: 12.5%. Any of the hits can be a critical hit or trigger a contact ability.	
155	Bonemerang	Deals damage twice, each hit able to be critical.	
156	Rest	Restores HP to full while going to sleep for 2 turns. Fails if user has Insomnia or Vital Spirit.	
157	Rock Slide	Deals damage and has a 30% chance of causing each target to flinch.	
158	Hyper Fang	Deals damage and has a 10% chance of causing the target to flinch.	
159	Sharpen	Increases the user's Attack stat by one stage.	
160	Conversion	Changes the user's type to match the type of one of the user's moves (including Conversion itself).	
161	Tri Attack	Deals damage and has a 20% chance of either paralyzing, freezing, or burning the target.	
162	Super Fang	Deals exact damage equal to 50% of the target's current HP, minimum of 1.	
163	Slash	Deals damage and has an increased critical-hit ratio. (+1 stage = 1/8 or 12.5%).	
164	Substitute	User loses 25% of max HP to hide behind a substitute, which prevents the effects of most attacks.	
165	Struggle	Hits as neutral damage, even through Wonder Guard. User receives recoil damage equal to 1/4 of damage dealt.	
166	Sketch	User learns the target's last move permanently, replacing Sketch in the process. Fails against some moves, or if user already knows the move.	
167	Triple Kick	Deals damage three times, each additional hit gains 10 power. Each hit has a separate accuracy check and is able to be critical.	
168	Thief	Steals the target's held item, if it has one. An item cannot be stolen if the user already has an item, or the target has Sticky Hold.	
169	Spider Web	Prevents the target from switching out or fleeing. A Pokémon can still flee if it has Run Away or holding a Smoke Ball.	
170	Mind Reader	Allows the next move used by the user to never miss, even against Bounce, Dig, Dive, and Fly.	
171	Nightmare	Causes a sleeping target to lose 1/4 of the their max HP at the end of each turn that they remain asleep.	
172	Flame Wheel	Deals damage and has a 10% chance of burning the target. This move will first thaw out its user if frozen.	
173	Snore	If the user is asleep, deals damage and has a 30% chance of causing the target to flinch. No effect against Soundproof.	
174	Curse	Lowers Speed but raises Attack and Defense. If user is Ghost, instead loses half max HP to curse target, causing them to lose 1/4 of the their max HP at end of each turn.	
175	Flail	Deals more damage the less HP the user has. Important breakpoints: 80 power at 35% hp or lower, and 150 power at 10% hp or lower.	
176	Conversion 2	Randomly changes the user's type to a new type that resists or is immune to the type of the last damaging move it was hit by.	
177	Aeroblast	Deals damage and has an increased critical-hit ratio. (+1 stage = 1/8 or 12.5%)	
178	Cotton Spore	Lowers the target's Speed stat by two stages.	
179	Reversal	Deals more damage the less HP the user has. Important breakpoints: 80 power at 35% hp or lower, and 150 power at 10% hp or lower.	
180	Spite	Decreases the PP of the target's last used move by 2-5 PP, chosen at random. Spite fails if that move has exactly 1 PP remaining.	
181	Powder Snow	Deals damage and has a 10% chance of freezing the target.	
182	Protect	Protects user from all effects of moves for the turn, including damage. Using this move consecutively halves its success rate each time.	
183	Mach Punch	This is an increased priority move, causing the user to attack before most other moves.	
184	Scary Face	Lowers the target's Speed stat by two stages.	
185	Faint Attack	Deals damage and bypasses accuracy checks to always hit, unless the target is in the semi-invulnerable turn of a move such as Dig or Fly.	
186	Sweet Kiss	Causes the target to become confused for 2-5 turns. 50% chance to damage self as a 40 power Physical move.	
187	Belly Drum	The user loses half of their max HP, and in return raises their Attack stat all the way to +6 stages.	
188	Sludge Bomb	Deals damage and has a 30% chance of poisoning the target.	
189	Mud-Slap	Deals damage and lowers the target's accuracy by one stage.	
190	Octazooka	Deals damage and has a 50% chance to lower the target's accuracy by one stage.	
191	Spikes	Creates a hazard for the enemy team (can stack 3 times). Switching out deals 1/8, 1/6, or 1/4 max HP in damage to an enemy without Flying or Levitate.	
192	Zap Cannon	Deals damage and paralyzes the target every time it hits.	
193	Foresight	Neutralizes accuracy checks against the target, and allows Fighting and Normal moves to hit them if they are Ghost.	
194	Destiny Bond	If the user faints as the result of a direct attack by an enemy, that Pokémon also faints. Effect ends when user uses another move.	
195	Perish Song	All Pokémon faint after 3 turns. Switching out or having Soundproof removes this effect.	
196	Icy Wind	Deals damage to all adjacent opponents and lowers the Speed of each by one stage.	
197	Detect	Protects user from all effects of moves for the turn, including damage. Using this move consecutively halves its success rate each time.	
198	Bone Rush	Hits 2-5 times in one turn. Two: 37.5%, Three: 37.5%, Four: 12.5%, Five: 12.5%. Any of the hits can be a critical hit.	
199	Lock-On	Allows the next move used by the user to never miss, even against Bounce, Dig, Dive, and Fly.	
200	Outrage	Deals damage for 2-3 consecutive turns. User becomes confused afterwards.	
201	Sandstorm	Changes weather to Sandstorm for 5 turns. Pokémon take 1/16 of their max HP in damage, except for Steel, Ground, and Rock types.	
202	Giga Drain	50% of the damage dealt is restored to the user as HP.	
203	Endure	Allows the user to survive any single attack that would cause it to faint, leaving the user with 1 HP instead.	
204	Charm	Lowers the Attack stat of the target by two stages.	
205	Rollout	Deals damage over 5 turns, doubling in power each consecutive hit. Base power is doubled if the user had previously used Defense Curl.	
206	False Swipe	Deals damage, but will always leave the target with 1 HP if it would otherwise cause it to faint.	
207	Swagger	Raises the target's Attack stat by two stages and confuses it.	
208	Milk Drink	Restores up to 50% of the user's max HP. Can be used outside of battle to transfer 20% of max HP to another Pokemon.	
209	Spark	Deals damage and has a 30% chance of paralyzing the target.	
210	Fury Cutter	Each time this move hits successively, its power will double, up to a maximum of 160. Otherwise, it resets to base power.	
211	Steel Wing	Deals damage and has a 10% chance of raising the user's Defense by one stage.	
212	Mean Look	Prevents the target from switching out or fleeing. A Pokémon can still flee if it has Run Away or holding a Smoke Ball.	
213	Attract	If the user and the target are opposite genders, the target will become infatuated, unable to use moves 50% of the time.	
214	Sleep Talk	If the user is asleep, randomly chooses another one of the user's moves to use.	
215	Heal Bell	Cures all Pokémon in the user's party of all major status conditions. Fails against Pokémon with Soundproof.	
216	Return	Power ranges between 1 and 102, strongest at friendship of 255. If the user's friendship is 127 or less, Frustration is stronger.	
217	Present	40% chance power is 40, 30% chance it's 80, 10% chance it's 120, and 20% chance to heal target by 1/4 their max HP.	
218	Frustration	Power ranges between 1 and 102, strongest at friendship of 0. If the user's friendship is 128 or greater, Return is stronger.	
219	Safeguard	For 5 turns, protects the user's party from most status effects and confusion.	
220	Pain Split	Equalizes HP of user and target by adding both Pokemon's current HP together, then dividing by two, split among them evenly.	
221	Sacred Fire	Deals damage and has a 50% chance of burning the target. This move will first thaw out its user if frozen.	
222	Magnitude	Power varies based on a random value and probability. Starting at value 4 and power 10, each additional value adds 20 power; 150 power at value 10. Can hit Pokémon using Dig.	
223	DynamicPunch	Deals damage and always confuses the target, lasting 2-5 turns.	
224	Megahorn	Deals damage and has no secondary effect.	
225	DragonBreath	Deals damage and has a 30% chance of paralyzing the target.	
226	Baton Pass	Switches out the user, passing all temporary stat stage changes as well as many other effects and conditions, on to the Pokémon that replaces it in battle.	
227	Encore	Prevents the target from using any move except its last used move, lasts for 2-6 turns.	
228	Pursuit	If the target Pokémon attempts to switch out, Pursuit's power will double and hit it first.	
229	Rapid Spin	Deals damage and removes the effects of any binding moves, Leech Seed, and any entry hazards such as Spikes from the user's field.	
230	Sweet Scent	Lowers the evasion of all adjacent opponents by one stage. Can be used outside of battle to attract a wild Pokemon.	
231	Iron Tail	Deals damage and has a 30% chance of lowering the target's Defense stat by one stage.	
232	Metal Claw	Deals damage and has a 10% chance of raising the user's Attack stat by one stage.	
233	Vital Throw	This is a decreased priority move, causing the user to attack after most other moves.	
234	Morning Sun	Restores the user's HP by a percentage based weather: 1/2 in no weather, 2/3 if sunny, and 1/4 during any other weather condition.	
235	Synthesis	Restores the user's HP by a percentage based weather: 1/2 in no weather, 2/3 if sunny, and 1/4 during any other weather condition.	
236	Moonlight	Restores the user's HP by a percentage based weather: 1/2 in no weather, 2/3 if sunny, and 1/4 during any other weather condition.	
237	Hidden Power	Power and type vary with IVs, power ranges from 30 to 70. Counter will always work against this move, but never Mirror Coat.	
238	Cross Chop	Deals damage and has an increased critical-hit ratio. (+1 stage = 1/8 or 12.5%)	
239	Twister	Deals damage and has a 20% chance of causing each target to flinch. Hits Pokémon using Bounce or Fly for double damage.	
240	Rain Dance	Changes weather to Rain for 5 turns. Water moves are boosted by 50% and Fire moves are weakened by 50%. Thunder ignores accuracy and evasion.	
241	Sunny Day	Changes weather to Sunny for 5 turns. Fire moves are boosted by 50% and Water moves are weakened by 50%. Thunder accuracy becomes 50%.	
242	Crunch	Deals damage and has a 20% chance of lowering the target's Special Defense stat by one stage.	
243	Mirror Coat	If hit by a Special category move, deals twice the damage received back to the user.	
244	Psych Up	Resets the user's stat changes and copies all of the target's stat stages onto the user: ATK DEF SPA SPD SPE ACC EVA.	
245	ExtremeSpeed	This is an increased priority move, causing the user to attack before most other moves.	
246	AncientPower	Deals damage and has a 10% chance of raising the user's Attack, Defense, Special Attack, Special Defense, and Speed by one stage each.	
247	Shadow Ball	Deals damage and has a 20% chance of lowering the target's Special Defense by one stage.	
248	Future Sight	Locks in damage when used based on SpAtk of user and SpDef of target. After 2 turns, deals damage to the current enemy. Attack is typeless: cannot STAB, hits Wonder Guard.	
249	Rock Smash	Deals damage and has a 50% chance of lowering the target's Defense stat by one stage.	
250	Whirlpool	Deals damage (doubled if opponent using Dive) and inflicts 1/16 of the target's max HP as damage for 2-5 turns. Prevents the target from switching out or fleeing.	
251	Beat Up	Each conscious, non-statused Pokémon in the user's party does an independent attack, each one is typeless with power of 10.	
252	Fake Out	This is an increased priority move. It always makes the target flinch, but attack will fail if it's not the first move used.	
253	Uproar	Deals damage for 2-5 consecutive turns. Wakes up sleeping Pokémon and prevents them from falling asleep, except those with Soundproof.	
254	Stockpile	Stores up energy, stacks three times. Unleash energy using Spit Up to deal damage or Swallow to heal HP.	
255	Spit Up	Consumes energy stored up by Stockpile, 100 power for each stack (0 if none). This move cannot cause a critical hit.	
256	Swallow	Consumes energy stored up by Stockpile, healing user for 25%, 50%, or 100% HP based on number of stacks consumed (0% if none).	
257	Heat Wave	Deals damage and has a 10% chance of burning the target.	
258	Hail	Changes weather to Hail for 5 turns. Pokémon take 1/16 of their max HP in damage, except for Ice types.	
259	Torment	Prevents the target from choosing to use the same move twice in a row. Effect ends when the Pokémon switches out.	
260	Flatter	Raises the target's Special Attack stat by one stage and confuses it.	
261	Will-O-Wisp	Inflicts a burn on the target, ineffective against Fire type Pokemon. Burned Pokémon deal half damage with Physical moves and lose 1/8 max HP each turn.	
262	Memento	User faints to lower the Attack and Special Attack stat of the target by two stages each.	
263	Facade	Power doubles if the user is poisoned, paralyzed, or burned. The burn's effect of halving the damage done is still applied.	
264	Focus Punch	This is a decreased priority move. This move will fail if the user is dealt direct damage first.	
265	SmellingSalt	Power doubles against a paralyzed target, but it will also cure the target of paralysis.	
266	Follow Me	This is an increased priority move. The user redirects all targeted moves from enemy Pokémon to itself.	
267	Nature Power	Sand: Earthquake, Building: Swift, Cave: Shadow Ball, Rock: Rock Slide, Tall grass: Stun Spore, Long grass: Razor Leaf, Pond: Bubblebeam, Sea: Surf, Underwater: Hydro Pump.	
268	Charge	User charges up, empowering the next move it uses. If that next move is Electric, damage dealt will be doubled.	
269	Taunt	Prevents the target Pokémon from using Status category moves; moves that aren't Physical or Special. Bypasses Substitute. This effect lasts 2 turns.	
270	Helping Hand	This is an increased priority move. The user boost its ally's damage done by 50% for this turn only.	
271	Trick	Switches held items with the target. Fails if used by a wild Pokémon, or if both Pokémon don't have items, or against a Substitute.	
272	Role Play	Replaces the user's ability with the target's. Fails if target ability is Trace or Wonder Guard. Some abilities like Intimidate don't trigger.	
273	Wish	No effect on the turn used. At the end of the next turn, the Pokémon in the user's current position will be healed by half its own max HP.	
274	Assist	Randomly selects an eligible move from all other moves known by Pokémon in the user's party, including fainted Pokemon.	
275	Ingrain	Restore 1/16th of its max HP at the end of every turn. Prevents the user from switching out, even from moves like Roar and Whirlwind.	
276	Superpower	Deals damage, then lowers the user's Attack and Defense stats by one stage each.	
277	Magic Coat	Reflects most Status category moves back at the enemy, most offensive moves that aren't Physical or Special.	
278	Recycle	Regains a held item, such as a Berry. Fails if item was lost through Thief or Knock Off.	
279	Revenge	This is a decreased priority move. Power is doubled if user is damaged by the target in the same turn.	
280	Brick Break	Removes Light Screen and Reflect from the opponent's side of the field, then inflicts damage. Removes those effects even against Ghost Pokemon.	
281	Yawn	Makes the target drowsy. At the end of the next turn, the drowsy Pokémon will fall asleep.	
282	Knock Off	Renders the target's held item unusable for the rest of the battle, even if switches out.	
283	Endeavor	Causes the target's HP to become equal the user's current HP.	
284	Eruption	Has 150 power at max HP, but its power decreases proportionally to the user's remaining HP. Formula: 150 x currHP / maxHP	
285	Skill Swap	Exchanges the abilities of the user and the target. This information is not shown to the player. Fails against Wonder Guard.	
286	Imprison	As long as the user remains in battle, opponents cannot use any move which is also known by the user.	
287	Refresh	Cures the user of burns, poison, or paralysis. It cannot cure sleep if it is used by Sleep Talk.	
288	Grudge	If the user faints as the result of a direct attack by an enemy, the last used move loses all PP. Effect ends when user uses another move.	
289	Snatch	This is an increased priority move. If another Pokémon tries to use a beneficial Status category move, the user will use that move instead.	
290	Secret Power	30% chance to Sand: --ACC, Building: paralysis, Cave: flinch, Rock: confusion, Tall grass: poison, Long grass: sleep, Pond: --SPD, Sea: --ATK, Underwater: --DEF	
291	Dive	Attacks on 2nd turn. Can still be hit by Surf and Whirlpool and will take double damage.	
292	Arm Thrust	Hits 2-5 times in one turn. Two: 37.5%, Three: 37.5%, Four: 12.5%, Five: 12.5%. Any of the hits can be a critical hit or trigger a contact ability.	
293	Camouflage	Change user's type based on terrain. Building: Normal, Sand: Ground, Cave/rock: Rock, Tall/long grass: Grass, Water: Water	
294	Tail Glow	Increases the user's Special Attack by two stages.	
295	Luster Purge	Deals damage and has a 50% chance of lowering the target's Special Defense.	
296	Mist Ball	Deals damage and has a 50% chance of lowering the target's Special Attack.	
297	FeatherDance	Lowers the target's Attack stat by two stages.	
298	Teeter Dance	Causes all other Pokémon to become confused for 2-5 turns. 50% chance to damage self as a 40 power Physical move.	
299	Blaze Kick	Deals damage and has a 10% chance of burning the target. It also has an increased critical hit ratio. (+1 stage = 1/8 or 12.5%)	
300	Mud Sport	Reduces the power of Electric moves by 50% for all Pokémon in the battle. This effect last until the user switches out.	
301	Ice Ball	Deals damage over 5 turns, doubling in power each consecutive hit. Base power is doubled if the user had previously used Defense Curl.	
302	Needle Arm	Deals damage and has a 30% chance of causing the target to flinch. Damage is doubled against a target that used Minimize.	
303	Slack Off	Restores up to 50% of the user's max HP.	
304	Hyper Voice	Deals damage to all adjacent opponents. Pokémon with Soundproof are not affected by this move.	
305	Poison Fang	Deals damage and has a 30% chance of badly poisoning the target.	
306	Crush Claw	Deals damage and has a 50% chance of lowering the target's Defense stat by one stage.	
307	Blast Burn	Deals damage and then forces the user to recharge during the next turn.	
308	Hydro Cannon	Deals damage and then forces the user to recharge during the next turn.	
309	Meteor Mash	Deals damage and has a 20% chance of raising the user's Attack stat by one stage.	
310	Astonish	Deals damage and has a 30% chance of causing the target to flinch. Damage is doubled against a target that used Minimize.	
311	Weather Ball	Power doubles in weather and changes type: Fire if sunny, Water if raining, Ice if hailing, Rock if sandstorm.	
312	Aromatherapy	Cures all Pokémon in the user's party of all major status conditions.	
313	Fake Tears	Lowers the target's Special Defense stat by two stages.	
314	Air Cutter	Deals damage and has an increased critical hit ratio. (+1 stage = 1/8 or 12.5%)	
315	Overheat	Deals damage and lowers the user's Special Attack by two stages.	
316	Odor Sleuth	Neutralizes accuracy checks against the target, and allows Fighting and Normal moves to hit them if they are Ghost.	
317	Rock Tomb	Deals damage and lowers the opponent's Speed by one stage.	
318	Silver Wind	Deals damage and has a 10% chance of raising the user's Attack, Defense, Special Attack, Special Defense, and Speed by one stage each.	
319	Metal Sound	Lowers the target's Special Defense stat by two stages. Fails against Pokémon with Soundproof.	
320	GrassWhistle	Puts the target to sleep, lasts 2-5 turns. Fails against Insomnia, Vital Spirit, or Soundproof.	
321	Tickle	Reduces the target's Attack and Defense stats by one stage each. Works even if enemy has a Substitute.	
322	Cosmic Power	Raises the Defense and Special Defense of the user by one stage each.	
323	Water Spout	Has 150 power at max HP, but its power decreases proportionally to the user's remaining HP. Formula: 150 x currHP / maxHP	
324	Signal Beam	Deals damage and has a 10% chance of confusing the target.	
