# id	animation	w	h	x	y	durations
22	sleep	24	24	5	10	30,35
23	idle	32	48	1	1	16,16
23	walk	40	48	-3	1	6,6,6,6,6,6
23	sleep	32	32	-1	6	30,35
24	idle	32	56	2	0	32,14
24	walk	40	56	-2	-1	6,6,8,6,6,6
24	sleep	32	32	0	7	30,35
24	faint	32	48	0	0	6,6,6
25	idle	40	56	-3	-1	40,2,3,3,3,2
25	walk	32	40	1	5	8,10,8,10
25	sleep	32	40	-2	5	30,35
25	faint	40	40	-1	3	8,12,4,10
26	idle	40	56	-2	0	40,2,4,4,4,2
26	walk	40	48	-2	2	8,10,8,10
26	sleep	32	40	-1	5	30,35
27	idle	32	40	1	5	40,2,2,2
27	walk	32	32	1	8	6,10,6,10
27	sleep	24	32	4	8	30,35
28	idle	32	40	1	4	25,10,25,10
28	walk	32	40	1	4	8,10,8,10
28	sleep	24	32	4	8	30,35
28	faint	32	32	2	8	8,12,4,10
29	idle	24	40	5	4	24,6,6,6,6
29	walk	40	48	-3	-1	6,4,4,4,4,4,4
29	sleep	24	24	5	10	30,35
30	idle	24	40	5	4	40,2,4,2
30	walk	24	32	5	7	6,8,6,8
30	sleep	24	40	4	5	30,35
31	idle	32	40	1	5	20,6,6,6,12
31	walk	32	40	1	5	8,10,8,10
31	sleep	24	40	5	5	30,35
32	idle	32	48	1	0	30,4,4,4,4
32	walk	40	48	-3	-2	6,6,5,6,6,4
32	sleep	24	32	4	8	30,35
33	idle	40	40	-3	4	40,10,2,2,2,2,2,2,2,6
33	walk	40	40	-3	4	6,12,6,12
33	sleep	32	32	2	8	30,35
34	idle	32	48	0	4	35,12
34	walk	40	48	-4	3	8,14,8,14
34	sleep	32	40	1	5	30,35
35	idle	32	40	0	4	30,3,4,5,4,3
35	walk	24	40	4	5	8,4,8,4,8,4,8,4
35	sleep	24	24	3	12	30,35
36	idle	32	48	0	2	30,6,6,6,6,6
36	walk	32	48	0	2	8,6,6,6,8,6,6,6
36	sleep	32	32	-1	8	30,35
37	idle	32	32	0	6	40,12,20,12
37	walk	32	40	0	4	6,4,4,4,6
37	sleep	24	24	3	10	30,35
37	faint	32	32	4	6	8,12,4,10
38	idle	40	40	-3	4	60,10,2,2,2,2,2,2,2,2,2,2,2,10
38	walk	40	40	-3	3	8,10,8,10
38	sleep	32	32	-4	8	30,35
38	faint	32	32	0	6	8,12,4,10
39	idle	24	32	4	7	25,8,15,8,15
39	walk	32	40	0	4	6,4,4,4,6
39	sleep	24	24	3	10	35,35
40	idle	32	48	0	2	40,4,6,4
40	walk	32	40	0	6	8,10,8,10
40	sleep	24	24	3	11	35,35
41	idle	32	56	0	1	10,6,6,6,6,6,6,8
41	walk	32	56	0	3	6,6,6,6,6,6,6,6
41	sleep	32	24	0	10	30,35
42	idle	40	56	-4	3	6,6,6,6
42	walk	40	64	-4	0	6,6,6,6,6,6,6,6
42	sleep	32	24	0	12	30,35
43	idle	24	40	4	5	30,4,4,4,4
43	walk	24	40	4	5	8,4,8,6,8,4,8,6
43	sleep	24	24	4	11	30,35
44	idle	32	32	0	8	30,8,8,8,8
44	walk	32	32	0	8	6,8,6,8
44	sleep	32	32	0	8	30,35
45	idle	32	40	1	5	30,3,3,8,3,3,30,3,3,8,3,3
45	walk	32	32	1	8	8,10,8,10
45	sleep	32	32	1	8	35,30
46	idle	24	24	4	8	24,6,6,6
46	walk	32	24	0	8	6,8,6,8
46	sleep	24	24	5	8	30,35
47	idle	32	32	0	7	40,4,2
47	walk	32	32	0	7	8,10,8,10
47	sleep	24	24	4	10	30,35
48	idle	24	40	5	5	16,16
48	walk	32	48	1	3	8,6,6,6,8
48	sleep	24	24	5	11	30,35
49	idle	32	56	1	2	12,12,12,12,12,12,12,12
49	walk	40	48	-3	4	8,8,8,8,8,8,8,8,8,8,8,8
49	sleep	24	48	2	4	30,8,8,30,8,8
50	idle	24	24	5	8	16,16
50	walk	40	40	-3	1	8,8,8
50	sleep	24	24	5	8	30,35
51	idle	32	32	1	4	12,16
51	walk	56	48	-9	-2	8,8,8
51	sleep	32	32	1	4	30,35
52	idle	32	32	0	9	12,12,12,12
52	walk	24	32	4	9	6,10,6,10
52	sleep	24	32	4	8	30,35
52	faint	40	32	1	8	8,12,4,10
53	idle	32	48	1	1	8
53	walk	32	40	1	4	8,10,8,10
53	sleep	32	16	-1	14	30,35
54	idle	24	40	5	5	16,20,16,20
54	walk	24	40	5	5	8,12,8,12
54	sleep	24	40	5	5	35,35
55	idle	32	40	1	6	40,20,40,20
55	walk	32	40	1	6	8,12,8,12
55	sleep	32	40	-1	4	35,35
56	idle	32	56	0	-1	40,4,4,4,4
56	walk	32	56	0	-2	8,4,4,4,8,4,4,4
56	sleep	32	24	0	12	30,35
57	idle	32	56	0	-2	22,4,6,4,22,4,6,4
57	walk	32	40	0	5	6,8,6,8
57	sleep	24	32	4	7	30,35
58	idle	40	48	-4	3	40,4,2
58	walk	32	40	0	4	6,8,6,8
58	sleep	32	32	0	8	30,35
59	idle	40	48	-3	4	8
59	walk	32	48	1	2	8,10,8,10
59	sleep	32	32	0	8	30,35
60	idle	40	48	-3	3	30,8,6,6,4,4,4,4
60	walk	32	40	1	5	8,6,6,6,6
60	sleep	32	24	-1	11	30,35
61	idle	32	40	0	5	40,2,4,4,2
61	walk	32	40	0	5	8,10,8,10
61	sleep	32	32	-1	7	30,35
62	idle	32	48	0	3	40,2,4,2
62	walk	40	40	-4	6	8,10,8,10
62	sleep	32	24	0	11	30,35
63	idle	24	48	3	5	24,8,8,24,8,8
63	walk	32	48	0	5	8,10,8,10,8,10,8,10
63	sleep	24	32	3	8	30,35
64	idle	40	56	-4	6	4,4,6,6,6,6,6,6,4
64	walk	40	40	-4	6	8,12,8,12
64	sleep	32	40	0	4	30,35
65	idle	32	48	1	5	6,6,6,6,6,6,6,6
65	walk	32	40	1	5	8,12,8,12
65	sleep	24	32	4	7	30,35
66	idle	24	40	5	5	40,4,4,4
66	walk	24	32	5	8	8,8,8,8
66	sleep	24	32	4	8	30,35
66	faint	32	32	4	8	8,12,4,10
67	idle	32	48	1	3	40,4,4,4
67	walk	32	48	1	3	8,10,8,10
67	sleep	24	32	4	10	30,35
68	idle	40	48	-3	4	40,2,2,2,2,2,2,2,2,12
68	walk	32	48	1	4	8,10,8,10
68	sleep	32	40	1	6	30,35
69	idle	24	32	4	8	20,22
69	walk	24	32	4	8	8,10,8,10
69	sleep	24	24	4	13	30,35
70	idle	32	32	1	7	16,8,16,8
70	walk	32	32	1	7	8,10,8,10
70	sleep	24	32	4	8	12,10,12,12,10,12
71	idle	32	56	0	0	35,3,3,5,5,5,3,3,3
71	walk	32	56	0	2	6,8,6,8
71	sleep	32	40	0	8	30,35
72	idle	24	48	4	6	4,8,8,4,8,8,8
72	walk	24	40	4	8	8,10,8,10
72	sleep	32	24	-1	9	30,35
73	idle	32	48	0	5	6,10,10,6,10,10,10
73	walk	32	40	0	7	8,10,8,10
73	sleep	24	32	4	7	30,35
74	idle	32	24	0	11	8,12,8,12
74	walk	32	32	0	8	8,10,8,10
74	sleep	32	32	0	8	9,8,20,9,8,20
75	idle	40	48	-3	2	60,10,2,2,2,2,2,2,2,2,2,2,2,10
75	walk	32	48	1	2	6,10,6,10
75	sleep	32	24	1	12	30,35
76	idle	32	40	0	5	30,25
76	walk	32	40	0	5	8,12,8,12
76	sleep	32	32	1	7	30,35
77	idle	32	40	1	5	60,10,2,2,2,2,2,2,2,2,2,2,2,10
77	walk	32	40	1	5	8,10,8,10
77	sleep	24	24	4	12	30,35
78	idle	40	56	-4	-2	60,10,2,2,2,2,2,2,2,2,2,2,2,10
78	walk	40	56	-4	-1	8,10,8,10
78	sleep	32	40	0	4	30,35
79	idle	24	32	4	6	40,8,8,8
79	walk	24	32	4	6	8,10,8,10
79	sleep	32	16	0	13	30,35
80	idle	40	40	-4	4	30,30
80	walk	32	40	0	4	8,12,8,12
80	sleep	32	24	0	10	30,35
81	idle	24	32	5	8	10,14,10,14
81	walk	24	32	5	8	8,6,6,8,6,6
81	sleep	24	32	5	9	20,8,8,20,8,8
81	faint	24	24	5	8	8,2,2,2,1,2,1,4
82	idle	32	40	0	7	14,10,14,10
82	walk	32	48	0	4	8,8,8,8,8,8,8,8
82	sleep	24	48	4	4	16,12,16,16,12,16
83	idle	24	32	4	7	30,12,30,12
83	walk	24	32	4	7	6,12,6,12
83	sleep	24	24	5	11	30,35
84	idle	40	40	-3	4	40,6,12,6
84	walk	32	40	1	4	8,12,8,12
84	sleep	24	24	5	12	30,35
85	idle	40	48	-4	3	40,10,16,10,16,10
85	walk	32	48	0	3	8,12,8,12
85	sleep	32	40	2	5	30,35
86	idle	32	32	1	9	30,20
86	walk	32	40	1	3	8,6,8,10,6,6,6
86	sleep	32	24	0	11	30,35
87	idle	48	40	-7	6	30,12,8,12,8,12
87	walk	40	48	-3	0	8,6,6,6,10,8,8
87	sleep	32	24	0	9	30,35
88	idle	24	32	4	7	40,8,30,8
88	walk	32	32	0	7	8,8,8,8,8,8
88	sleep	32	24	0	10	30,35
89	idle	40	40	-4	5	40,8,30,8
89	walk	48	40	-8	5	10,8,6,10,8
89	sleep	32	24	0	11	30,35
90	idle	24	32	5	8	14,40,14,30
90	walk	24	32	5	8	10,6,10,10,6,10
90	sleep	24	32	4	10	24,10,10,24,10,10
91	idle	32	48	1	2	12,12,12,14,12,12
91	walk	32	48	1	2	8,8,8,10,8,8
91	sleep	24	48	5	6	22,15,10,22,15,10
92	idle	48	56	-8	2	10,10,10,10,10,10
92	walk	48	64	-8	-3	6,6,6,6,6,6,6,6,6,6,6,6
92	sleep	24	56	4	3	6,6,6,16,6,6,6,16
93	idle	32	56	0	0	14,8,14,8
93	walk	32	56	0	0	6,6,6,10,6,6,6,6,10,6
93	sleep	32	56	2	2	8,8,20,8,8,20
93	faint	40	56	-4	-4	4,3,16,3,1,3,3,2,2,6,2,4
94	idle	32	40	1	5	40,4,3,3,3,3,3,4
94	walk	32	40	1	5	8,10,8,10
94	sleep	32	40	-1	4	30,35
94	faint	32	40	2	5	8,12,4,10
95	idle	96	104	-32	-8	16,16,16,16
95	walk	88	112	-28	-8	10,14,10,14
95	sleep	40	64	-5	-6	30,35
96	idle	32	40	1	5	40,10,6,10
96	walk	32	40	1	5	8,12,8,12
96	sleep	24	32	2	8	35,35
96	faint	32	40	1	-5	2,2,2,2,4,2,2,2,2
97	idle	40	48	-4	3	30,1,2,3,3,3,2,1
97	walk	40	40	-4	6	8,10,8,10
97	sleep	32	32	-4	9	35,35
98	idle	24	40	4	3	30,30
98	walk	32	32	0	6	8,10,8,10
98	sleep	24	16	3	13	30,35
99	idle	32	48	0	0	30,30
99	walk	32	32	0	6	8,10,8,10
99	sleep	24	24	3	8	30,35
100	idle	24	32	4	7	22,6,2,6,6
100	walk	32	40	0	4	6,6,10,4,4,4,6,8
100	sleep	24	24	4	11	30,35
100	faint	32	24	3	11	8,12,4,10
101	idle	24	32	4	8	10,18,10,18
101	walk	32	40	0	3	4,4,6,8,6,4,10
101	sleep	24	32	4	8	30,35
102	idle	32	40	-1	2	30,2,4,4,4,2
102	walk	32	32	-1	6	6,8,6,8
102	sleep	24	24	3	10	30,35
103	idle	40	56	-4	0	40,12,8,12
103	walk	40	48	-4	4	8,12,8,12
103	sleep	32	40	0	6	30,35
104	idle	32	40	1	4	40,1,2,3,2,1
104	walk	32	32	1	8	8,10,8,10
104	sleep	24	32	5	9	30,35
104	faint	32	32	1	5	8,12,4,10
105	idle	32	48	1	2	40,6,16,6
105	walk	32	40	1	6	8,10,8,10
105	sleep	32	40	-1	6	30,35
106	idle	40	48	-4	2	40,20
106	walk	40	48	-4	2	10,12,10,12
106	sleep	32	32	0	7	30,35
107	idle	48	56	-7	0	30,6,8,6
107	walk	32	40	1	7	8,10,8,10
107	sleep	24	32	4	8	30,35
108	idle	48	48	-8	2	36,12,10,12
108	walk	32	40	-1	6	10,14,10,14
108	sleep	32	32	-1	9	30,35
109	idle	32	56	0	2	10,10,8,10,10,8
109	walk	32	56	0	2	6,6,6,6,8,6,6,6,6,8
109	sleep	24	40	4	9	16,12,16,16,12,16
110	idle	32	64	0	0	12,12,12,12,12,12,12,12,12,12,12
110	walk	32	56	0	4	8,8,8,8,8,8
110	sleep	32	48	0	4	16,12,16,16,12,16
111	idle	40	32	-4	7	40,20,15
111	walk	32	32	0	7	8,10,8,10
111	sleep	24	32	4	7	30,35
112	idle	48	48	-7	3	40,26
112	walk	32	48	1	3	8,12,8,12
112	sleep	32	48	-1	2	30,35
113	idle	24	40	4	5	40,2,3,4,3,2
113	walk	24	32	4	8	8,10,8,10
113	sleep	32	32	-1	7	35,35
114	idle	32	48	0	2	34,6,6,6
114	walk	32	48	0	2	8,6,6,6,6,6
114	sleep	24	40	4	6	30,35
115	idle	40	56	-3	0	30,3,4,3,20
115	walk	40	56	-3	0	16,10,16,10
115	sleep	32	48	1	4	30,35
116	idle	24	48	4	6	8,16,8,16
116	walk	24	48	4	6	8,12,8,12
116	sleep	24	48	2	6	16,12,16,16,12,16
117	idle	32	64	1	1	12,12,12,12,8,8,8,8
117	walk	40	56	-3	3	8,8,10,8,10
117	sleep	32	56	-1	5	16,12,16,16,12,16
118	idle	32	40	0	5	16,10,16,10,16,10,16,2,4,4,4,12,10,16,10
118	walk	32	40	0	5	10,10,10,10,10,10,10,10
118	sleep	24	32	4	9	10,10,10,10,10,10
119	idle	32	48	0	5	16,10,16,10,16,10,16,2,4,4,4,12,10,16,10
119	walk	32	48	0	3	10,8,10,8
119	sleep	32	48	-1	5	10,10,10,10,10,10
120	idle	24	32	4	8	36,10,6,10
120	walk	24	32	4	8	8,10,8,10
120	sleep	24	24	4	8	30,35
121	idle	24	32	4	9	60,4,4,4,4,4,4,4
121	walk	24	40	4	6	8,10,8,10
121	sleep	24	32	4	4	30,35
122	idle	32	48	0	2	20,12
122	walk	32	48	0	2	8,12,8,12
122	sleep	32	32	0	8	30,35
123	idle	32	48	0	3	40,10,14,10
123	walk	40	48	-4	3	8,10,8,10
123	sleep	40	40	-5	3	30,35
124	idle	32	40	1	6	30,14,30,14
124	walk	32	40	1	6	8,12,8,12
124	sleep	24	40	5	6	30,35
125	idle	40	56	-4	0	28,18,28,18
125	walk	40	56	-4	0	8,10,8,10
125	sleep	32	40	0	6	30,35
126	idle	32	48	0	3	40,6,12,6
126	walk	32	48	0	3	8,10,8,10
126	sleep	32	40	0	7	30,35
127	idle	32	48	1	3	40,2,6,3,2
127	walk	32	48	1	3	8,12,8,12
127	sleep	32	32	1	3	30,35
128	idle	32	56	1	-2	40,3,6,3,2
128	walk	40	56	-3	-2	8,6,6,6,6,6,6
128	sleep	32	32	0	7	30,35
129	idle	32	32	-1	4	8,10,10,12
129	walk	32	40	-1	4	6,2,4,6,4,2,6
129	sleep	32	24	0	11	30,35
130	idle	72	128	-20	-12	18,8,18,8
130	walk	88	128	-28	-12	10,14,10,14
130	sleep	72	112	-12	-8	16,12,16,16,12,16
131	idle	48	56	-7	-1	40,12,16,12
131	walk	48	56	-7	-1	10,12,10,12
131	sleep	40	32	-4	5	30,35
132	idle	24	32	4	6	16,16
132	walk	32	32	0	4	10,8,10,8,8
132	sleep	32	16	0	11	30,35
133	idle	24	32	4	8	16,16
133	walk	40	48	-4	1	4,4,4,4,6,2,2
133	sleep	32	24	-2	12	30,35
133	faint	40	32	-1	9	8,12,4,10
134	idle	40	56	-3	-3	60,16
134	walk	32	48	1	2	8,10,8,10
134	sleep	32	40	2	6	30,35
135	idle	32	40	1	5	60,16
135	walk	32	40	1	5	8,10,8,10
135	sleep	32	32	0	8	30,35
135	faint	32	40	2	5	8,12,4,10
136	idle	32	40	1	5	12,16,12,16
136	walk	32	40	1	5	8,8,8,8
136	sleep	32	32	-1	7	30,35
137	idle	32	40	0	5	12,8,12,8
137	walk	32	40	0	5	10,10,10,10
137	sleep	24	32	4	8	16,8,16,16,8,16
138	idle	32	32	0	7	30,12
138	walk	32	32	0	7	8,8,8,8
138	sleep	24	24	4	10	30,35
139	idle	32	40	0	5	30,20
139	walk	40	40	-4	5	8,8,8,8
139	sleep	24	32	4	8	30,35
140	idle	24	24	4	9	40,4,4
140	walk	24	24	4	9	8,10,8,10
140	sleep	24	16	5	12	30,35
141	idle	40	48	-4	3	20,10,20,10
141	walk	40	48	-4	2	6,4,8,4,6,4,8,4
141	sleep	24	40	4	6	30,35
142	idle	40	64	-4	-4	8,8,8,8,8,8,8,8
142	walk	40	64	-4	-2	8,8,8,8
142	sleep	32	32	0	8	30,35
143	idle	32	64	0	-4	40,1,3,4,3,1
143	walk	32	48	0	3	8,10,8,10
143	sleep	40	24	-4	11	30,35
144	idle	88	88	-28	-12	8,10,8,16
144	walk	88	88	-28	-12	8,10,8,10
144	sleep	56	48	-15	3	30,35
145	idle	56	96	-12	-9	8,10,8,10
145	walk	56	96	-12	-9	6,6,6,6
145	sleep	56	48	-11	3	30,35
146	idle	80	96	-23	-9	8,12,8,12
146	walk	80	96	-23	-9	8,10,8,10
146	sleep	48	64	-4	-5	30,35
147	idle	32	40	1	4	10,20,10,20
147	walk	32	40	1	4	10,8,8,8,8
147	sleep	24	24	4	11	30,35
148	idle	48	56	-8	-3	8,6,6,8,6,6,6
148	walk	48	56	-8	-3	8,6,6,8,6,6,6
148	sleep	24	48	4	1	30,35
149	idle	40	64	-3	-2	40,2,2,3,3,2,2
149	walk	40	56	-3	1	8,12,8,12
149	sleep	32	40	1	7	30,35
150	idle	32	64	1	-3	40,2,4,6,8,6,4,2
150	walk	48	56	-7	0	12,6,6,12,6,6
150	sleep	32	40	0	4	30,35
150	faint	40	48	-2	-1	8,12,4,10
151	idle	32	56	0	3	12,8,12,8
151	walk	40	64	-4	-3	8,8,8,8,8,8
151	sleep	24	56	5	2	16,12,16,16,12,16
152	idle	24	48	3	2	40,2,4,3,1,1
152	walk	24	32	3	8	8,10,8,10
152	sleep	24	32	3	8	30,35
152	faint	32	32	3	9	8,12,4,10
153	idle	40	56	-3	-1	40,14,20,14
153	walk	40	56	-3	-1	8,10,8,10
153	sleep	24	40	5	6	30,35
154	idle	32	56	0	0	40,14,20,14
154	walk	32	56	0	0	10,14,10,14
154	sleep	32	40	0	6	30,35
155	idle	24	32	4	8	40,16
155	walk	24	32	4	8	6,8,6,8
155	sleep	24	24	4	10	30,35
155	faint	32	24	4	10	8,12,4,10
156	idle	32	24	0	8	30,8,4,8,4
156	walk	32	24	0	8	6,10,6,10
156	sleep	24	24	4	8	30,35
156	faint	32	16	3	14	8,12,4,10
157	idle	32	56	0	0	30,4,4,4
157	walk	32	40	0	7	8,12,8,12
157	sleep	24	32	4	9	30,35
157	faint	32	40	0	2	8,12,4,10
158	idle	32	48	0	0	30,4,2,6,3,2,3
158	walk	24	32	4	8	8,10,8,10
158	sleep	24	32	4	8	30,35
158	faint	40	32	0	7	8,12,4,10
159	idle	32	48	0	3	40,25
159	walk	32	48	0	3	12,10,12,10
159	sleep	32	32	-1	9	30,35
160	idle	40	56	-4	0	36,2,4,2,2,16
160	walk	32	48	0	3	8,12,8,12
160	sleep	32	40	0	5	30,35
161	idle	24	72	4	-2	30,10,2,2,3,3,3,2
161	walk	32	40	0	4	8,10,8,10
161	sleep	32	32	-1	8	30,35
162	idle	40	40	-4	7	40,12,4,12,4,12
162	walk	56	64	-10	-6	6,4,4,4,4,4,4,6
162	sleep	24	24	4	10	30,35
163	idle	24	32	4	9	48,4,4,4
163	walk	32	40	0	5	10,6,6,6,8
163	sleep	24	24	3	13	30,35
164	idle	40	64	-3	-4	40,2,2,6,1,2,3,6,3,2,2,2,3,3,2,2
164	walk	40	48	-3	3	8,8,8,8
164	sleep	24	40	5	6	30,35
165	idle	40	48	-3	6	4,4,4,4,4,4,4,4,4,4,4,4
165	walk	40	48	-3	6	4,4,4,4,4,4
165	sleep	32	24	1	10	30,35
165	faint	40	48	0	0	8,12,4,10
166	idle	32	56	1	4	4,4,4,4,4,4,4,4,4,4,4,4
166	walk	32	56	1	4	4,4,4,4,4,4
166	sleep	24	40	5	5	30,35
167	idle	24	24	4	8	40,2,4,2
167	walk	32	24	0	8	10,10,10
167	sleep	24	24	4	8	30,35
168	idle	32	40	1	4	40,12,2,2,2,2,2,2,2,8
168	walk	32	40	1	4	8,8,8,8
168	sleep	32	32	1	8	30,35
169	idle	40	56	-3	2	12,12,12,12,12,12,12,12
169	walk	40	56	-3	2	6,6,6,6,6,6,6,6
169	sleep	24	24	4	11	30,35
170	idle	32	40	0	6	14,10,12,12,14
170	walk	32	40	0	6	10,4,6,8,8,8,10
170	sleep	32	40	2	6	16,8,8,16,8,8,8
171	idle	32	56	0	0	20,6,6,6,8,8,20,8,8
171	walk	32	48	1	2	8,8,8,8
171	sleep	32	40	1	6	20,14,14,20,14,14
172	idle	32	48	1	2	32,4,6,6
172	walk	32	48	1	2	6,6,6,6,6,6,6,6
172	sleep	24	40	4	5	30,35
172	faint	32	40	4	4	8,12,4,10
173	idle	24	32	5	8	36,18
173	walk	32	32	1	8	8,6,6,6,8,6,6,6
173	sleep	24	24	4	11	30,35
174	idle	24	24	5	10	16,16
174	walk	24	32	5	7	8,4,4,4,8
174	sleep	24	24	4	10	30,35
175	idle	24	32	4	8	30,8,10,8
175	walk	24	32	4	8	8,6,8,8,6,8
175	sleep	24	24	4	11	30,35
176	idle	24	48	5	2	30,4,3,3,3,4
176	walk	24	40	5	5	8,10,8,10
176	sleep	24	32	4	9	30,35
176	faint	32	32	5	9	8,12,4,10
177	idle	24	32	5	7	8,4,8,4
177	walk	24	24	5	10	8,10,8,10
177	sleep	24	24	5	10	30,35
178	idle	32	40	1	7	30,30
178	walk	32	40	1	6	8,10,8,10
178	sleep	24	32	5	9	30,35
179	idle	32	40	1	5	30,4,3,3,3,4
179	walk	32	32	1	7	8,10,8,10
179	sleep	24	32	5	6	30,35
179	faint	32	24	2	10	8,12,4,10
180	idle	32	48	1	3	30,4,3,3,3,4
180	walk	32	40	1	6	8,10,8,10
180	sleep	24	32	4	9	30,35
180	faint	40	40	0	3	8,12,4,10
181	idle	32	64	1	-2	8,8,4,6,4,8,8
181	walk	32	56	1	1	8,10,8,10
181	sleep	32	48	1	4	30,35
182	idle	24	32	5	8	30,8,4,8
182	walk	24	32	5	8	8,10,8,10
182	sleep	24	32	5	9	30,35
183	idle	32	40	0	5	26,16
183	walk	32	40	0	5	10,8,10,8
183	sleep	40	24	-6	12	30,35
184	idle	32	48	0	3	30,6,6,6
184	walk	32	40	0	6	8,10,8,10
184	sleep	32	32	0	10	30,35
185	idle	24	40	4	6	8
185	walk	32	40	0	6	8,10,8,10
185	sleep	32	16	0	13	30,35
186	idle	32	64	0	-4	40,3,5,3,6
186	walk	40	72	-4	-8	4,4,4,4,4,4,10
186	sleep	24	32	4	8	30,35
187	idle	32	56	1	0	60,10,8,10,8,6,4,2,8,8,8,8,8,8,8
187	walk	32	56	1	3	4,4,4,4,4,4,4,4
187	sleep	24	40	4	8	8,8,26,8,8,26
188	idle	24	32	4	8	20,20
188	walk	24	40	4	8	8,8,8,8,8,8,8,8
188	sleep	24	40	4	8	8,8,26,8,8,26
189	idle	24	32	5	10	8,8,8,8
189	walk	24	48	5	6	8,8,8,8,8,8,8,8
189	sleep	24	40	4	8	8,8,26,8,8,26
190	idle	32	40	1	8	30,18
190	walk	40	48	-3	2	8,4,6,4,8,4,6,4
190	sleep	32	32	1	9	30,35
190	faint	40	40	0	1	8,12,4,10
191	idle	24	32	5	10	26,18
191	walk	24	40	5	7	4,6,6,6,6,6,6,6
191	sleep	24	32	5	10	30,35
192	idle	32	56	0	0	40,1,2,3,4,3,2,1,4,1,2,3,4,3,2,1
192	walk	32	48	0	3	8,14,8,14
192	sleep	24	40	4	7	30,35
193	idle	24	40	4	8	4,4,4,4,4,4,4,4,4,4,4,4
193	walk	32	48	0	6	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
193	sleep	24	24	4	10	30,35
194	idle	32	32	0	8	24,16
194	walk	32	40	0	6	8,6,6,6,8,6,6,6
194	sleep	24	24	2	13	30,35
195	idle	48	56	-8	0	36,4,6,8,6,4,36
195	walk	48	40	-8	7	10,12,10,12
195	sleep	32	24	0	11	30,35
196	idle	32	48	0	3	8,8,8,8
196	walk	32	48	0	3	8,12,8,12
196	sleep	32	32	0	9	30,35
197	idle	24	48	4	2	60,10,2,2,2,2,2,2,2,2,2,2,2,10
197	walk	32	40	0	5	8,8,8,8
197	sleep	32	32	-2	9	30,35
197	faint	32	40	1	4	8,12,4,10
198	idle	32	40	1	5	46,4,2
198	walk	32	48	1	3	4,4,8,4,4,8
198	sleep	24	32	3	8	30,35
