# national id	name	evolution (a level, or a type code; empty for none)
256	Combusken	36
257	Blaziken	
258	Mudkip	16
259	Marshtomp	36
260	Swampert	
261	Poochyena	18
262	Mightyena	
263	Zigzagoon	20
264	Linoone	
265	Wurmple	7
266	Silcoon	10
267	Beautifly	
268	Cascoon	10
269	Dustox	
270	Lotad	14
271	Lombre	WATER
272	Ludicolo	
273	Seedot	14
274	Nuzleaf	LEAF
275	Shiftry	
276	Taillow	22
277	Swellow	
278	Wingull	25
279	Pelipper	
280	Ralts	20
281	Kirlia	<Lua table at 0x0000014D7EDDD7B0>
282	Gardevoir	
283	Surskit	22
284	Masquerain	
285	Shroomish	23
286	Breloom	
287	Slakoth	18
288	Vigoroth	36
289	Slaking	
290	Nincada	20
291	Ninjask	
292	Shedinja	
293	Whismur	20
294	Loudred	40
295	Exploud	
296	Makuhita	24
297	Hariyama	
298	Azurill	FRIEND
299	Nosepass	40
300	Skitty	MOON
301	Delcatty	
302	Sableye	
303	Mawile	
304	Aron	32
305	Lairon	42
306	Aggron	
307	Meditite	37
308	Medicham	
309	Electrike	26
310	Manectric	
311	Plusle	
312	Minun	
313	Volbeat	
314	Illumise	
315	Roselia	SHNY ST
316	Gulpin	26
317	Swalot	
318	Carvanha	30
319	Sharpedo	
320	Wailmer	40
321	Wailord	
322	Numel	33
323	Camerupt	
324	Torkoal	
325	Spoink	32
326	Grumpig	
327	Spinda	
328	Trapinch	35
329	Vibrava	45
330	Flygon	
331	Cacnea	32
332	Cacturne	
333	Swablu	35
334	Altaria	
335	Zangoose	
336	Seviper	
337	Lunatone	
338	Solrock	
339	Barboach	30
340	Whiscash	
341	Corphish	30
342	Crawdaunt	
343	Baltoy	36
344	Claydol	
345	Lileep	40
346	Cradily	
347	Anorith	40
348	Armaldo	
349	Feebas	35
350	Milotic	
351	Castform	
352	Kecleon	
353	Shuppet	37
354	Banette	
355	Duskull	37
356	Dusclops	REA CLH
357	Tropius	
358	Chimecho	
359	Absol	
360	Wynaut	15
361	Snorunt	<Lua table at 0x0000014D7EDDE1B0>
362	Glalie	
363	Spheal	32
364	Sealeo	44
365	Walrein	
366	Clamperl	DST/DSS
367	Huntail	
368	Gorebyss	
369	Relicanth	
370	Luvdisc	
371	Bagon	30
372	Shelgon	50
373	Salamence	
374	Beldum	20
375	Metang	45
376	Metagross	
377	Regirock	
378	Regice	
379	Registeel	
380	Latias	
381	Latios	
382	Kyogre	
383	Groudon	
384	Rayquaza	
385	Jirachi	
386	Deoxys	
387	Turtwig	18
388	Grotle	32
389	Torterra	
390	Chimchar	14
391	Monferno	36
392	Infernape	
393	Piplup	16
394	Prinplup	36
395	Empoleon	
396	Starly	14
397	Staravia	34
398	Staraptor	
399	Bidoof	15
400	Bibarel	
401	Kricketot	10
402	Kricketune	
403	Shinx	15
404	Luxio	30
405	Luxray	
406	Budew	FRIEND
407	Roserade	
408	Cranidos	30
409	Rampardos	
410	Shieldon	30
411	Bastiodon	
412	Burmy P	20 M/F
413	Wormadam P	
414	Mothim	
415	Combee	<Lua table at 0x0000014D7EDDE270>
416	Vespiquen	
417	Pachirisu	
418	Buizel	26
419	Floatzel	
420	Cherubi	25
421	Cherrim O	
422	Shellos W	30
423	Gastrodon W	
424	Ambipom	
425	Drifloon	28
426	Drifblim	
427	Buneary	FRIEND
428	Lopunny	
429	Mismagius	
430	Honchkrow	
431	Glameow	38
432	Purugly	
433	Chingling	FRIEND
434	Stunky	34
435	Skuntank	
436	Bronzor	33
437	Bronzong	
438	Bonsly	17
439	Mime Jr.	18
440	Happiny	OVAL
441	Chatot	
442	Spiritomb	
443	Gible	24
444	Gabite	48
445	Garchomp	
446	Munchlax	FRIEND
447	Riolu	FRIEND
448	Lucario	
449	Hippopotas	34
450	Hippowdon	
451	Skorupi	40
452	Drapion	
453	Croagunk	37
454	Toxicroak	
455	Carnivine	
456	Finneon	31
457	Lumineon	
458	Mantyke	RMRAID
459	Snover	40
460	Abomasnow	
461	Weavile	
462	Magnezone	
463	Lickilicky	
464	Rhyperior	
465	Tangrowth	
466	Electivire	
467	Magmortar	
468	Togekiss	
469	Yanmega	
470	Leafeon	
471	Glaceon	
472	Gliscor	
473	Mamoswine	
474	Porygon-Z	
475	Gallade	
476	Probopass	
477	Dusknoir	
478	Froslass	
479	Rotom	
480	Uxie	
481	Mesprit	
482	Azelf	
483	Dialga	
484	Palkia	
485	Heatran	
486	Regigigas	
487	Giratina A	
488	Cresselia	
489	Phione	
490	Manaphy	
491	Darkrai	
492	Shaymin L	
493	Arceus	
494	Victini	
495	Snivy	17
496	Servine	36
497	Serperior	
498	Tepig	17
499	Pignite	36
500	Emboar	
501	Oshawott	17
502	Dewott	36
503	Samurott	
504	Patrat	20
505	Watchog	
506	Lillipup	16
507	Herdier	32
508	Stoutland	
509	Purrloin	20
510	Liepard	
511	Pansage	LEAF
512	Simisage	
513	Pansear	FIRE
514	Simisear	
515	Panpour	WATER
516	Simipour	
517	Munna	MOON
518	Musharna	
519	Pidove	21
520	Tranquill	32
521	Unfezant M	
522	Blitzle	27
523	Zebstrika	
524	Roggenrola	25
525	Boldore	37
526	Gigalith	
527	Woobat	FRIEND
528	Swoobat	
529	Drilbur	31
530	Excadrill	
531	Audino	
532	Timburr	25
533	Gurdurr	37
534	Conkeldurr	
535	Tympole	25
536	Palpitoad	36
537	Seismitoad	
538	Throh	
539	Sawk	
540	Sewaddle	20
541	Swadloon	FRIEND
542	Leavanny	
543	Venipede	22
544	Whirlipede	30
545	Scolipede	
546	Cottonee	SUN
547	Whimsicott	
548	Petilil	SUN
549	Lilligant	
550	Basculin R	
551	Sandile	29
552	Krokorok	40
553	Krookodile	
554	Darumaka	35
555	Darmanitan	
556	Maractus	
557	Dwebble	34
558	Crustle	
559	Scraggy	39
560	Scrafty	
561	Sigilyph	
562	Yamask	34
563	Cofagrigus	
564	Tirtouga	37
565	Carracosta	
566	Archen	37
567	Archeops	
568	Trubbish	36
569	Garbodor	
570	Zorua	30
571	Zoroark	
572	Minccino	SHNY ST
573	Cinccino	
574	Gothita	32
575	Gothorita	41
576	Gothitelle	
577	Solosis	32
578	Duosion	41
579	Reuniclus	
580	Ducklett	35
581	Swanna	
582	Vanillite	35
583	Vanillish	47
584	Vanilluxe	
585	Deerling	34
586	Sawsbuck	
587	Emolga	
588	Karrablast	SHLMT
589	Escavalier	
590	Foongus	39
591	Amoonguss	
592	Frillish M	40
593	Jellicent M	
594	Alomomola	
595	Joltik	36
596	Galvantula	
597	Ferroseed	40
598	Ferrothorn	
599	Klink	38
600	Klang	49
601	Klinklang	
602	Tynamo	39
603	Eelektrik	THUNDR
604	Eelektross	
605	Elgyem	42
606	Beheeyem	
607	Litwick	41
608	Lampent	DUSK
609	Chandelure	
610	Axew	38
611	Fraxure	48
612	Haxorus	
613	Cubchoo	37
614	Beartic	
615	Cryogonal	
616	Shelmet	KRBLST
617	Accelgor	
618	Stunfisk	
619	Mienfoo	50
620	Mienshao	
621	Druddigon	
622	Golett	43
623	Golurk	
624	Pawniard	52
625	Bisharp	
626	Bouffalant	
627	Rufflet	54
628	Braviary	
629	Vullaby	54
630	Mandibuzz	
631	Heatmor	
632	Durant	
633	Deino	50
634	Zweilous	64
635	Hydreigon	
636	Larvesta	59
637	Volcarona	
638	Cobalion	
639	Terrakion	
640	Virizion	
641	Tornadus	
642	Thundurus	
643	Reshiram	
644	Zekrom	
645	Landorus	
646	Kyurem	
647	Keldeo	
648	Meloetta A	
649	Genesect	
